red_circle_e red_circle_e
COMING coming_NP
UP up_IN
THIS this_NP
WEEK week_NP
ON on_NP
RSBN rsbn_NP
television_e television_e
right_arrow_e right_arrow_e
8 @card@
/ /
3 @card@
: :
Coverage coverage_NN
of of_IN
President president_NP
Donald donald_NP
J j_NP
. .
Trump trump_NP
' '
s s_NN
D d_NN
. .
C c_LS
. .
indictment indictment_NN
. .
LIVE live_JJ
at at_IN
2 @card@
pm pm_NN
: :
/ /
/ /
right_arrow_e right_arrow_e
8 @card@
/ /
4 @card@
: :
President president_NP
Trump trump_NP
speaks speak_VBZ
at at_IN
Alabama alabama_NP
GOP gop_NP
dinner dinner_NN
. .
LIVE live_JJ
at at_IN
6 @card@
pm pm_NN
: :
/ /
/ /
right_arrow_e right_arrow_e
8 @card@
/ /
5 @card@
: :
President president_NP
Trump trump_NP
speaks speak_VBZ
at at_IN
South south_NP
Carolina carolina_NP
GOP gop_NP
dinner dinner_NN
. .
LIVE live_JJ
at at_IN
5 @card@
pm pm_NN
: :
/ /
/ /
