Democrats democrats_NPS
With with_IN
Ties ties_NP
To to_TO
China china_NP
Targeting targeting_NP
Lawyers lawyers_NPS
Who who_WP
Advocate advocate_NN
For for_IN
' '
Election election_NP
Integrity integrity_NP
' '
Former former_NP
Senator senator_NP
Tom tom_NP
Daschle daschle_NP
– -
a a_DT
board board_NN
member member_NN
of of_IN
a a_DT
new new_JJ
dark dark_JJ
money money_NN
, ,
left-wing left-wing_JJ
group group_NN
targeting target_VBG
conservative conservative_JJ
election election_NN
integrity integrity_NN
lawyers lawyer_NNS
– -
took take_VBD
a a_DT
trip trip_NN
to to_TO
China china_NP
sponsored sponsor_VBN
by by_IN
a a_DT
key key_JJ
communist communist_JJ
influence influence_NN
group group_NN
flagged flag_VBN
by by_IN
the the_DT
U u_NP
. .
S s_NP
. .
government government_NN
for for_IN
its its
efforts effort_NNS
to to_TO
infiltrate infiltrate_VB
American american_JJ
new new_JJ
group group_NN
– -
65 @card@
Project project_NN
– -
seeks seek_VBZ
to to_TO
deter deter_VB
right-wing right-wing_JJ
lawyers lawyer_NNS
from from_IN
fighting fight_VBG
on on_IN
behalf behalf_NN
of of_IN
election election_NN
integrity integrity_NN
by by_IN
attempting attempt_VBG
to to_TO
disbar disbar_VB
and and_CC
intimidate intimidate_VB
lawyers lawyer_NNS
who who_WP
fought fight_VBD
for for_IN
the the_DT
issue issue_NN
during during_IN
the the_DT
2020 @card@
election election_NN
. .
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
