Another another_DT
Media media_NP
Smear smear_NP
Against against_IN
a a_DT
Parental parental_NP
Rights rights_NPS
AdvocateThe advocatethe_NP
Los los_NP
Angeles angeles_NP
Times times_NP
published publish_VBD
an an_DT
article article_NN
attacking attack_VBG
Chino chino_NP
Valley valley_NP
School school_NP
Board board_NP
President president_NP
Sonja sonja_NP
Shaw shaw_NP
as as_IN
a a_DT
 "  "
right-wing right-wing_JJ
zealot zealot_NN
. .
 "  "
This this_DT
, ,
because because_IN
of of_IN
a a_DT
rule rule_NN
her her
school school_NN
board board_NN
passed pass_VBD
. .
The the_DT
rule rule_NN
said say_VBD
parents parent_NNS
must must_MD
be be_VB
informed inform_VBN
if if_IN
their their
children child_NNS
want want_VBP
to to_TO
use use_VB
different different_JJ
LIVE live_JJ
right_arrow_e right_arrow_e
more more_JJR
#stinchfieldtonight_h stinchfieldtonight_h
with with_IN
@stinchfield1776 twitterhandle_NN
here here_RB
: :
