Do do_VB
you you_PP
remember remember_VB
some some_DT
months month_NNS
back back_RB
when when_WRB
I i_PP
said say_VBD
DeSantis desantis_NP
was be_VBD
BOUGHT bought_JJ
& &
PAID paid_JJ
FOR for_IN
by by_IN
Ken ken_NP
Griffin griffin_NP
to to_TO
run run_VB
against against_IN
@realDonaldTrump twitterhandle_NN
? ?
? ?
? ?
There there_EX
were be_VBD
MANY many_JJ
who who_WP
didn didn_NP
' '
t t_NN
want want_VBP
to to_TO
believe believe_VB
it it_PP
, ,
but but_CC
evidence evidence_NN
was be_VBD
right right_RB
there there_RB
in in_IN
our our
face face_NN
the the_DT
whole whole_JJ
time…Now time…now
, ,
you you_PP
see see_VBP
how how_WRB
the the_DT
RNC rnc_NP
is be_VBZ
NOT not_JJ
on on_IN
our our
side side_NN
& &
in in_IN
fact fact_NN
, ,
with with_IN
Paul paul_NP
Ryan ryan_NP
, ,
Jeb jeb_NP
Bush bush_NP
& &
other other_JJ
Uniparty uniparty_NP
RINOs rinos_NP
is be_VBZ
putting put_VBG
their their
 "  "
golden golden_JJ
 "  "
Trojan trojan_NP
Horse horse_NP
on on_IN
the the_DT
front front_JJ
line line_NN
. .
Even even_RB
TIME time_NN
magazine magazine_NN
glorified glorify_VBD
him him_PP
, ,
that that_WDT
' '
s s_NN
how how_WRB
you you_PP
is be_VBZ
is be_VBZ
as as_RB
much much_RB
a a_DT
TRAITOR traitor_NN
as as_IN
the the_DT
day day_NN
is be_VBZ
long long_JJ
. .
