Gaetz gaetz_NP
going go_VBG
off off_RP
: :
 "  "
The the_DT
only only_JJ
Republicans republican_NNS
in in_IN
America america_NP
who who_WP
believe believe_VBP
the the_DT
debt debt_NN
limit limit_NN
deal deal_NN
was be_VBD
conservative conservative_JJ
are be_VBP
in in_IN
this this_DT
chamber chamber_NN
right right_RB
now now_RB
. .
Because because_IN
all all_DT
over over_IN
America america_NP
, ,
Republicans republican_NNS
think think_VBP
that that_IN
when when_WRB
you you_PP
negotiated negotiate_VBD
that that_IN
debt debt_NN
limit limit_NN
deal deal_NN
, ,
they they_PP
took take_VBD
your your
lunch lunch_NN
money money_NN
. .
 "  "
