Emergency emergency_NP
Tuesday tuesday_NP
Broadcast broadcast_NP
! !
President president_NP
Macron macron_NP
Prepares prepares_NP
French french_NP
Population population_NP
for for_IN
Direct direct_NP
War war_NP
With with_IN
Russia russia_NP
, ,
Says say_VBZ
NATO nato_NP
Readying readying_NP
Invasion invasion_NP
of of_IN
Ukraine ukraine_NP
! !
backhand_index_pointing_down_e backhand_index_pointing_down_e
WATCH watch_NP
THE the_NP
BROADCAST broadcast_NP
NOW now_NP
backhand_index_pointing_down_e backhand_index_pointing_down_e
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
& &
help help_VB
support support_NN
Infowars infowars_NNS
! !
- -_NN
#alexjonesshow_h alexjonesshow_h
- -_NN
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
