Sen sen_NP
. .
Mitt mitt_NN
Romney romney_NP
suggested suggest_VBD
that that_DT
certain certain_JJ
2024 @card@
GOP gop_NP
candidates candidate_NNS
should should_MD
drop drop_VB
out out_RP
of of_IN
the the_DT
race race_NN
because because_IN
it it_PP
would would_MD
foment foment_VB
what what_WP
he he_PP
described describe_VBD
as as_IN
a a_DT
 "  "
Trump trump_NP
plurality plurality_NN
 "  "
that that_WDT
would would_MD
essentially essentially_RB
hand hand_VB
former former_JJ
President president_NP
@realDonaldTrump twitterhandle_NN
the the_DT
GOP gop_NP
nomination nomination_NN
. .
