BREAKING breaking_NN
! !
police_car_light_e police_car_light_e
Moderna moderna_NP
seeks seek_VBZ
FDA fda_NP
approval approval_NN
for for_IN
its its
COVID-19 covid-19_NP
vaccine vaccine_NN
for for_IN
children child_NNS
aged age_VBN
six six_CD
months month_NNS
to to_TO
under under_IN
six six_CD
we we_PP
have have_VBP
victories victory_NNS
against against_IN
abortion abortion_NN
, ,
there there_EX
are be_VBP
other other_JJ
battles battle_NNS
that that_WDT
need need_VBP
to to_TO
be be_VB
fought…This fought…this
spiritual spiritual_JJ
war war_NN
is be_VBZ
VAST vast_JJ
and and_CC
has have_VBZ
many many_JJ
the the_DT
end end_NN
of of_IN
the the_DT
day day_NN
, ,
this this_DT
is be_VBZ
a a_DT
WAR war_NN
that that_WDT
is be_VBZ
waged wage_VBN
in in_IN
the the_DT
heavens heaven_NNS
, ,
and and_CC
while while_IN
we we_PP
are be_VBP
WINNING winning_NP
[ [
they they_PP
] ]
want want_VBP
the the_DT
souls soul_NNS
of of_IN
our our
children child_NNS
BADLY badly_RB
. .
[ [
They they_PP
] ]
feed feed_NN
off off_IN
God god_NP
' '
s s_JJ
most most_RBS
innocent innocent_JJ
and and_CC
vulnerable vulnerable_JJ
. .
