Republican republican_JJ
presidential presidential_JJ
candidate candidate_NN
Nikki nikki_NP
Haley haley_NP
appears appear_VBZ
to to_TO
be be_VB
drawing draw_VBG
from from_IN
anti-Donald anti-donald_NP
Trump trump_NP
donors donor_NNS
to to_TO
keep keep_VB
her her
long-shot long-shot_NN
White white_NP
House house_NP
bid bid_NN
afloat afloat_RB
and and_CC
delay delay_VB
the the_DT
former former_JJ
president president_NN
from from_IN
being be_VBG
declared declare_VBN
the the_DT
GOP gop_NP
' '
s s_JJ
presumptive presumptive_JJ
nominee nominee_NN
. .
