As as_IN
I i_PP
' '
ve ve_RB
been be_VBN
saying say_VBG
. .
This this_DT
is be_VBZ
their their
greatest great_JJS
magic magic_JJ
spell spell_NN
. .
It it_PP
was be_VBD
cast cast_VBN
so so_IN
many many_JJ
times time_NNS
over over_IN
the the_DT
American american_JJ
people people_NNS
, ,
particularly particularly_RB
today today_NN
' '
s s_JJ
professional professional_JJ
class class_NN
during during_IN
their their
formative formative_JJ
years year_NNS
, ,
countless countless_JJ
times time_NNS
with with_IN
great great_JJ
effect effect_NN
by by_IN
Jon jon_NP
Stewart stewart_NP
, ,
who who_WP
played play_VBD
a a_DT
major major_JJ
role role_NN
in in_IN
destroying destroy_VBG
they they_PP
can can_MD
make make_VB
the the_DT
entire entire_JJ
professional professional_JJ
class class_NN
react react_VBP
reflexively reflexively_RB
against against_IN
anything anything_NN
that that_WDT
might might_MD
seem seem_VB
 "  "
conservative conservative_JJ
, ,
 "  "
they they_PP
only only_RB
need need_VBP
a a_DT
very very_RB
small small_JJ
conspiracy conspiracy_NN
that that_WDT
will will_MD
operate operate_VB
like like_IN
a a_DT
very very_RB
big big_JJ
conspiracy conspiracy_NN
. .
