First first_JJ
of of_IN
all all_DT
, ,
you you_PP
need need_VBP
to to_TO
prove prove_VB
the the_DT
second second_JJ
part part_NN
of of_IN
that that_DT
. .
Second second_JJ
of of_IN
all all_DT
, ,
we we_PP
' '
re re_NN
not not_RB
the the_DT
ones one_NNS
accusing accuse_VBG
him him_PP
of of_IN
it it_PP
, ,
Ashley ashley_NP
' '
s s_NN
diary diary_NN
is be_VBZ
. .
Not not_RB
to to_TO
mention mention_VB
there there_RB
' '
s s_JJ
many many_JJ
pictures picture_NNS
out out_RB
there there_RB
of of_IN
Hunter hunter_NP
doing do_VBG
inappropriate inappropriate_JJ
and and_CC
disgusting disgusting_JJ
things thing_NNS
with with_IN
children child_NNS
and and_CC
Biden biden_NP
sniffing sniff_VBG
little little_JJ
girls girl_NNS
hair hair_NN
and and_CC
having have_VBG
his his
hand hand_NN
around around_IN
their their
chest chest_NN
and and_CC
getting get_VBG
way way_NN
too too_RB
close close_JJ
to to_TO
them them_PP
. .
But but_CC
you you_PP
' '
re re_NN
going go_VBG
to to_TO
believe believe_VB
the the_DT
same same_JJ
FBI fbi_NP
who who_WP
wanted want_VBD
to to_TO
censor censor_VB
anyone anyone_NN
who who_WP
spoke speak_VBD
out out_RP
against against_IN
the the_DT
dictatorship dictatorship_NN
? ?
Seems seem_VBZ
logical logical_JJ
, ,
for for_IN
an an_DT
idiot idiot_NN
. .
