Trump trump_NP
Sweeps sweeps_NP
Iowa iowa_NP
& &
Enrages enrages_NP
Deep deep_NP
State state_NP
as as_IN
German german_NP
Government government_NP
Predicts predicts_NP
War war_NP
With with_IN
Russia russia_NP
 "  "
Imminent imminent_NP
 "  "
— -
Must-Watch must-watch_NP
Broadcast broadcast_NP
! !
police_car_light_e police_car_light_e
Watch watch_NP
LIVE live_NP
! !
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
& &
help help_VB
fund fund_VB
the the_DT
tip tip_NN
of of_IN
the the_DT
spear spear_NN
! !
