Here here_RB
' '
s s_VBG
a a_DT
short short_JJ
List list_NP
of of_IN
Congressional congressional_NP
Republicans republicans_NPS
Funded funded_NP
by by_IN
Bill bill_NP
Gates gates_NP
in in_IN
the the_DT
2022 @card@
. .
John john_NP
Cornyn cornyn_NP
, ,
TexasSen texassen_NP
. .
Shelley shelley_NP
Capito capito_NP
, ,
West west_NP
VirginiaSen virginiasen_NP
. .
Mike mike_NP
Braun braun_NP
, ,
IndianaSen indianasen_NP
. .
Bill bill_NP
Cassidy cassidy_NP
, ,
LouisianaSen louisianasen_NP
. .
Susan susan_NP
Collins collins_NP
, ,
MaineSen mainesen_NP
. .
John john_NP
Kennedy kennedy_NP
, ,
LouisianaSen louisianasen_NP
. .
John john_NP
Barrasso barrasso_NP
, ,
WyomingSen wyomingsen_NP
. .
John john_NP
Thune thune_NP
, ,
South south_NP
Dakota dakota_NP
Rep rep_NP
. .
Vernon vernon_NP
Buchanan buchanan_NP
– -
Florida florida_NP
, ,
District district_NP
16Rep 16rep_NP
. .
Dan dan_NP
Crenshaw crenshaw_NP
– -
Texas texas_NP
, ,
District district_NP
2Rep 2rep_JJ
. .
Elise elise_NP
Stefanik stefanik_NP
– -
New new_NP
York york_NP
, ,
District district_NP
21Rep 21rep_JJ
. .
Chuck chuck_NP
Fleishmann fleishmann_NP
, ,
Tennessee tennessee_NP
, ,
District district_NP
3Rep 3rep_JJ
. .
Mike mike_NP
Simpson simpson_NP
, ,
Idaho idaho_NP
, ,
District district_NP
2Rep 2rep_JJ
. .
Garrett garrett_NP
Graves graves_NP
, ,
Louisiana louisiana_NP
, ,
District district_NP
6Rep 6rep_JJ
. .
Cathy cathy_NP
Rodgers rodgers_NP
, ,
Washington washington_NP
, ,
District district_NP
5Rep 5rep_NN
. .
Kay kay_NP
Granger granger_NP
, ,
Texas texas_NP
, ,
District district_NP
12Rep 12rep_NP
. .
Suzan suzan_NP
Delbone delbone_NP
, ,
Washington washington_NP
, ,
District district_NP
1Rep 1rep_NP
. .
Kelly kelly_NP
Armstrong armstrong_NP
, ,
North north_NP
Dakota dakota_NP
, ,
At-large at-large_NP
District district_NP
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
