MAGA maga_NP
Is be_VBZ
dedicated dedicate_VBN
to to_TO
saving save_VBG
real real_JJ
America america_NP
the the_DT
deepstate deepstate_JJ
gangster gangster_NN
thugpunks thugpunks_NNS
are be_VBP
hyper hyper_NN
maniacal maniacal_JJ
to to_TO
destroy destroy_VB
her her_PP
. .
Crush crush_VB
the the_DT
deepstate deepstate_JJ
gangster gangster_NN
thugpunks￼ thugpunks￼
. .
Raise raise_VB
more more_JJR
hell hell_NN
than than_IN
ever ever_RB
before before_IN
demanding demand_VBG
legal legal_JJ
elections election_NNS
starting start_VBG
now now_RB
! !
