#freethej6politicalhostages_h freethej6politicalhostages_h
flag_united_states_e flag_united_states_e
heart_suit_e heart_suit_e
Justice justice_NP
Neil neil_NP
Gorsuch gorsuch_NP
stole steal_VBD
the the_DT
show show_NN
this this_DT
morning morning_NN
by by_IN
blowing blow_VBG
up up_RP
the the_DT
foundation foundation_NN
of of_IN
the the_DT
DOJ doj_NP
' '
s s_JJ
case case_NN
against against_IN
the the_DT
nonviolent nonviolent_JJ
J6 j6_NP
protesters protester_NNS
. .
While while_IN
the the_DT
Trump trump_NP
supporters supporter_NNS
simply simply_RB
exercised exercise_VBN
their their
freedom freedom_NN
of of_IN
speech speech_NN
, ,
there there_EX
were be_VBD
leftist leftist_JJ
individuals individual_NNS
who who_WP
committed commit_VBD
actual actual_JJ
felonies felony_NNS
that that_IN
the the_DT
Biden biden_NP
regime regime_NN
gave give_VBD
a a_DT
complete complete_JJ
pass pass_NN
: :
/ /
/ /
