think think_VB
each each_DT
and and_CC
everyone everyone_NN
of of_IN
us us_PP
#wethepeople_h wethepeople_h
#patriot_h patriot_h
#patriots_h patriots_h
should should_MD
go go_VB
to to_TO
and and_CC
submit submit_VB
removal removal_NN
of of_IN
bonds bond_NNS
to to_TO
ALL all_NNS
in in_IN
office office_NN
that that_WDT
have have_VBP
oppsosed oppsosed_VBN
#america_h america_h
and and_CC
ALL all_NP
ITS its_NP
FREEDOMS freedoms_NP
AS as_NP
WELL well_NP
AS as_NP
PEOPLE people_NP
. .
All all_DT
public public_JJ
office office_NN
holders holder_NNS
need need_VBP
to to_TO
lose lose_VB
their their
bonds bond_NNS
and and_CC
therefore therefore_RB
they they_PP
lose lose_VBP
their their
office office_NN
as as_RB
well well_RB
if if_IN
not not_RB
made make_VBN
right right_RB
even even_RB
before before_IN
the the_DT
next next_JJ
#election_h election_h
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
grinning_face_with_big_eyes_e grinning_face_with_big_eyes_e
latin_cross_e latin_cross_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
#like_h like_h
#share_h share_h
#retruth_h retruth_h
#maga_h maga_h
#americafirst_h americafirst_h
#trump_h trump_h
#trumpwon_h trumpwon_h
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
