BREAKING breaking_NN
: :
President president_NP
Trump trump_NP
will will_MD
participate participate_VB
in in_IN
a a_DT
CNN cnn_NP
Presidential presidential_NP
Town town_NP
Hall hall_NP
in in_IN
New new_NP
Statement statement_NP
: :
 "  "
The the_DT
event event_NN
, ,
hosted host_VBN
by by_IN
' '
CNN cnn_NP
This this_NP
Morning morning_NP
' '
anchor anchor_NN
Kaitlan kaitlan_NP
Collins collins_NP
and and_CC
airing air_VBG
at at_IN
9 @card@
p p_NN
. .
m m_NN
. .
ET et_CC
on on_IN
May may_NP
10 @card@
, ,
will will_MD
feature feature_VB
the the_DT
former former_JJ
president president_NN
taking take_VBG
questions question_NNS
from from_IN
New new_NP
Hampshire hampshire_NP
Republicans republicans_NPS
and and_CC
undeclared undeclared_JJ
voters voter_NNS
who who_WP
plan plan_VBP
to to_TO
vote vote_VB
in in_IN
the the_DT
2024 @card@
GOP gop_NP
presidential presidential_JJ
primary primary_NN
. .
 "  "
