EVERYONE everyone_NN
NEEDS needs_NP
TO to_NP
LISTEN listen_NP
to to_TO
what what_WP
@AlexJones twitterhandle_NNS
lays lay_VBZ
out out_RP
here here_RB
& &
focus focus_VB
on on_IN
the the_DT
absolutely absolutely_RB
CHILLING chilling_JJ
ramifications ramification_NNS
of of_IN
what what_WP
he he_PP
is be_VBZ
saying say_VBG
. .
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
 "  "
The the_DT
earth earth_NN
is be_VBZ
being be_VBG
put put_VBN
into into_IN
a a_DT
countdown countdown_NN
collapse collapse_NN
right right_NN
now…They now…they
want want_VBP
to to_TO
bring bring_VB
the the_DT
world world_NN
population population_NN
down down_RB
to to_TO
500 @card@
million…Elon million…elon
Musk musk_NP
is be_VBZ
right right_JJ
and and_CC
a a_DT
hero hero_NN
for for_IN
pointing point_VBG
out out_RP
if if_IN
you you_PP
don don_VBP
' '
t t_NN
have have_VBP
a a_DT
2 @card@
. .
1 @card@
children…replacement children…replacement
rate rate_NN
, ,
society society_NN
collapses collapse_NNS
. .
 "  "
According accord_VBG
to to_TO
WEF wef_NP
& &
UN un_NP
white white_JJ
papers paper_NNS
… …
 "  "
We we_PP
will will_MD
have have_VB
a a_DT
post-industrial post-industrial_JJ
world world_NN
by by_IN
2030 @card@
. .
 "  "
 "  "
We we_PP
will will_MD
have have_VB
NO no_NP
personal personal_JJ
cars car_NNS
by by_IN
2030 @card@
. .
 "  "
 "  "
We we_PP
will will_MD
be be_VB
eating eat_VBG
bugs bug_NNS
by by_IN
2030 @card@
. .
 "  "
 "  "
We we_PP
will will_MD
start start_VB
the the_DT
DEPOPULATION depopulation_NN
of of_IN
90 @card@
% %
the the_DT
people people_NNS
by by_IN
2045 @card@
. .
 "  "
When when_WRB
you you_PP
look look_VBP
at at_IN
this this_DT
& &
you you_PP
look look_VBP
at at_IN
population population_NN
data datum_NNS
, ,
the the_DT
numbers number_NNS
DO do_NP
NOT not_NP
LIE lie_NP
. .
There there_EX
is be_VBZ
a a_DT
SERIOUS serious_JJ
problem problem_NN
with with_IN
the the_DT
US us_NP
, ,
Japan japan_NP
, ,
Italy italy_NP
& &
many many_JJ
other other_JJ
predominantly predominantly_RB
white white_JJ
countries country_NNS
NOT not_NP
reproducing reproduce_VBG
enough enough_RB
to to_TO
sustain sustain_VB
a a_DT
viable viable_JJ
culture culture_NN
& &
society society_NN
. .
This this_DT
is be_VBZ
a a_DT
MAJOR major_NP
issue issue_NN
looking look_VBG
into into_IN
the the_DT
future future_NN
another another_DT
20-30 @card@
years year_NNS
and and_CC
beyond…Replacement beyond…replacement
rates rate_NNS
by by_IN
country country_NN
: :
Japan japan_NP
: :
1 1_LS
. .
3Italy 3italy_RB
: :
1 1_LS
. .
3America 3america_NP
: :
1 1_LS
. .
6NOT 6not_JJ
SUSTAINABLE sustainable_NP
. .
