There there_EX
' '
s s_VBG
a a_DT
great great_JJ
many many_JJ
of of_IN
us us_PP
who who_WP
know know_VBP
and and_CC
understand understand_VBP
that that_IN
what what_WP
the the_DT
Democrats democrats_NPS
and and_CC
Liberals liberal_NNS
are be_VBP
doing do_VBG
is be_VBZ
absolutely absolutely_RB
atrocious atrocious_JJ
. .
And and_CC
we we_PP
want want_VBP
it it_PP
stop stop_VB
. .
They they_PP
' '
re re_NN
trying try_VBG
to to_TO
push push_VB
this this_DT
new new_JJ
agenda agenda_NN
of of_IN
minor minor_JJ
attracted attract_VBN
persons person_NNS
, ,
AKA aka_NP
map map_NN
, ,
and and_CC
then then_RB
when when_WRB
it it_PP
does do_VBZ
finally finally_RB
all all_RB
go go_VB
to to_TO
pot pot_VB
and and_CC
the the_DT
parents parent_NNS
start start_VBP
coming come_VBG
after after_IN
people people_NNS
, ,
we we_PP
' '
re re_NN
being be_VBG
set set_VBN
up up_RP
to to_TO
be be_VB
the the_DT
fall fall_NN
queen queen_NN
speaks speak_VBZ
out out_IN
AGAINST against_NP
taking take_VBG
children child_NNS
to to_TO
drag drag_VB
shows show_NNS
and and_CC
gay gay_JJ
pride pride_NN
parades parade_NNS
! !
