More more_JJR
than than_IN
half half_NN
of of_IN
likely likely_JJ
Texas texas_NP
GOP gop_NP
primary primary_JJ
voters voter_NNS
back back_RB
former former_JJ
President president_NP
Donald donald_NP
Trump trump_NP
in in_IN
his his
bid bid_NN
to to_TO
win win_VB
the the_DT
party party_NN
' '
s s_JJ
presidential presidential_JJ
nomination nomination_NN
, ,
according accord_VBG
to to_TO
a a_DT
poll poll_NN
by by_IN
Defend defend_NP
Texas texas_NP
Liberty liberty_NP
PAC pac_NP
. .
Read read_VB
more more_RBR
: :
