THESE these_DT
ARE be_VBP
THE the_DT
SAME same_NP
PEOPLE people_NP
WHO who_WP
PRETENDED pretend_VBD
THEY they_NP
WERE were_NP
DISGUSTED disgusted_NP
AT at_NP
SEEING seeing_NP
INAPPROPRIATE inappropriate_NP
PICS pics_NP
FROM from_NP
HUNTERS hunters_NP
LAPTOP laptop_NP
OF of_IN
HIM him_NP
WITH with_NP
UNDERAGE underage_NP
GIRLS girls_NP
WHILE while_NP
TALKING talking_NP
SHIT shit_NP
ABOUT about_NP
US us_NP
. .
pouting_face_e pouting_face_e
pouting_face_e pouting_face_e
pouting_face_e pouting_face_e
Susanna susanna_NP
Gibson gibson_NP
, ,
a a_DT
40-year-old 40-year-old_JJ
mother mother_NN
of of_IN
2 @card@
children child_NNS
running run_VBG
for for_IN
a a_DT
seat seat_NN
in in_IN
the the_DT
57th 57th_JJ
district district_NN
in in_IN
suburban suburban_JJ
Richmond richmond_NP
, ,
reportedly reportedly_RB
used use_VBN
a a_DT
platform platform_NN
called call_VBD
Chaturbate chaturbate_NNS
to to_TO
stream stream_VB
sex sex_NN
acts act_NNS
with with_IN
her her
husband husband_NN
in in_IN
exchange exchange_NN
for for_IN
' '
tokens token_NNS
. .
' '
