Thank thank_VB
you you_PP
, ,
President president_NP
Trump trump_NP
. .
I i_NP
' '
m m_NN
incredibly incredibly_RB
honored honor_VBN
by by_IN
your your
support support_NN
of of_IN
Turning turning_NP
Point point_NP
and and_CC
our our
Chase chase_NP
the the_DT
Vote vote_NP
project project_NN
. .
Our our
team team_NN
is be_VBZ
hiring hire_VBG
HUNDREDS hundred_NNS
of of_IN
ballot ballot_NN
chasers chaser_NNS
as as_IN
we we_PP
speak speak_VBP
! !
Help help_VB
save save_VB
the the_DT
country country_NN
by by_IN
driving drive_VBG
low low_JJ
propensity propensity_NN
, ,
conservative conservative_JJ
voters voter_NNS
out out_RB
to to_TO
the the_DT
polls poll_NNS
in in_IN
Arizona arizona_NP
, ,
Wisconsin wisconsin_NP
, ,
or or_CC
Michigan michigan_NP
. .
Apply apply_VB
here here_RB
backhand_index_pointing_down_e backhand_index_pointing_down_e
