Most most_JJS
of of_IN
the the_DT
political political_JJ
world world_NN
is be_VBZ
shutting shut_VBG
down down_RP
, ,
but but_CC
for for_IN
TPUSA tpusa_NP
, ,
the the_DT
year year_NN
is be_VBZ
just just_RB
hitting hit_VBG
its its
climax climax_NN
, ,
with with_IN
the the_DT
four-day four-day_JJ
extravaganza extravaganza_NN
of of_IN
AmericaFest americafest_NP
. .
Jack jack_NP
Posobiec posobiec_NP
and and_CC
I i_PP
discussed discuss_VBD
the the_DT
dramatic dramatic_JJ
shift shift_NN
on on_IN
the the_DT
right right_NN
that that_IN
AmFest amfest_NP
represents represent_VBZ
, ,
with with_IN
a a_DT
particular particular_JJ
focus focus_NN
on on_IN
the the_DT
GOP gop_NP
' '
s s_JJ
massive massive_JJ
evolution evolution_NN
on on_IN
the the_DT
critical critical_JJ
issue issue_NN
of of_IN
Ukraine ukraine_NP
… …
flag_united_states_e flag_united_states_e
down_arrow_e down_arrow_e
