GOP gop_NP
lawmakers lawmaker_NNS
in in_IN
#northcarolina_h northcarolina_h
have have_VBP
pushed push_VBN
forward forward_RB
a a_DT
bill bill_NN
to to_TO
protect protect_VB
#parentsrights_h parentsrights_h
to to_TO
direct direct_VB
their their
children child_NNS
' '
s s_NN
upbringing upbringing_NN
, ,
including include_VBG
the the_DT
right right_NN
to to_TO
be be_VB
informed inform_VBN
of of_IN
conversations conversation_NNS
the the_DT
school school_NN
has have_VBZ
with with_IN
their their
child child_NN
about about_IN
sex sex_NN
and and_CC
gender gender_NN
. .
