There there_EX
was be_VBD
a a_DT
steady steady_JJ
stream stream_NN
of of_IN
voters voter_NNS
turning turn_VBG
up up_RP
to to_TO
#alabama_h alabama_h
polls poll_NNS
today today_NN
to to_TO
choose choose_VB
party party_NN
nominees nominee_NNS
for for_IN
the the_DT
2022 @card@
the the_DT
deep-red deep-red_JJ
state state_NN
, ,
those those_DT
who who_WP
win win_VBP
the the_DT
GOP gop_NP
primaries primary_NNS
will will_MD
face face_VB
general general_JJ
elections election_NNS
that that_WDT
Democrats democrats_NPS
haven haven_NN
' '
t t_NN
won win_VBD
in in_IN
decades decade_NNS
. .
