MUST must_MD
WATCH watch_NP
! !
! !
! !
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
fire_e fire_e
fire_e fire_e
fire_e fire_e
I i_PP
did do_VBD
an an_DT
interview interview_NN
with with_IN
@petesantilli twitterhandle_NN
yesterday yesterday_NN
as as_IN
a a_DT
follow follow_NN
up up_RB
to to_TO
the the_DT
first first_JJ
one one_CD
that that_WDT
happened happen_VBD
in in_IN
October october_NP
of of_IN
2023 @card@
when when_WRB
I i_PP
initially initially_RB
filed file_VBD
my my
lawsuit lawsuit_NN
against against_IN
the the_DT
Anti-Defamation anti-defamation_NN
League league_NP
( (
ADL adl_NP
) )
. .
We we_PP
are be_VBP
at at_IN
a a_DT
VERY very_NP
EXCITING exciting_NP
, ,
and and_CC
IMPORTANT important_JJ
juncture juncture_NN
in in_IN
this this_DT
case case_NN
, ,
and and_CC
it it_PP
was be_VBD
great great_JJ
to to_TO
reconnect reconnect_VB
with with_IN
Pete pete_NP
. .
There there_EX
is be_VBZ
a a_DT
LOT lot_NN
of of_IN
good good_JJ
, ,
and and_CC
SPICY spicy_NP
information information_NN
that that_WDT
came come_VBD
from from_IN
this this_DT
interview interview_NN
. .
Pete pete_NP
has have_VBZ
been be_VBN
doing do_VBG
some some_DT
deep deep_JJ
research research_NN
, ,
and and_CC
I i_PP
think think_VBP
it it_PP
may may_MD
surprise surprise_VB
many many_JJ
of of_IN
you you_PP
to to_TO
hear hear_VB
what what_WP
he he_PP
has have_VBZ
to to_TO
say say_VB
! !
I i_PP
say say_VBP
this this_DT
in in_IN
the the_DT
absolute absolute_JJ
STRONGEST strongest_NP
terms…THIS terms…this
VITALLY vitally_NP
IMPORTANT important_JJ
LANDMARK landmark_NP
CASE case_NP
POTENTIALLY potentially_NP
IMPACTS impacts_NP
EVERY every_NP
ONE one_NP
OF of_IN
US us_NP
! !
! !
! !
The the_DT
sad sad_JJ
truth truth_NN
is be_VBZ
, ,
MOST most_JJ
 "  "
Conservative conservative_JJ
 "  "
Media media_NN
and and_CC
pundits pundit_NNS
WILL will_NP
NOT not_NP
touch touch_NN
or or_CC
cover cover_VB
this this_DT
case case_NN
. .
Even even_RB
some some_DT
of of_IN
those those_DT
who who_WP
I i_PP
have have_VBP
considered consider_VBN
good good_JJ
, ,
solid solid_JJ
journalists journalist_NNS
. .
That that_DT
in in_IN
itself itself_PP
is be_VBZ
VERY very_JJ
, ,
I i_PP
implicitly implicitly_RB
rely rely_VBP
on on_IN
your your
word word_NN
of of_IN
mouth mouth_NN
, ,
and and_CC
sharing share_VBG
these these_DT
continued continued_JJ
prayers prayer_NNS
, ,
and and_CC
support support_NN
are be_VBP
GREATLY greatly_NP
APPRECIATED appreciated_NP
! !
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
