Nobody nobody_NN
wanted want_VBD
to to_TO
secure secure_VB
our our
elections election_NNS
ahead ahead_RB
of of_IN
2024 @card@
, ,
and and_CC
now now_RB
some some_DT
of of_IN
you you_PP
also also_RB
want want_VBP
to to_TO
push push_VB
away away_RP
potential potential_JJ
Trump trump_NP
voters voter_NNS
because because_IN
some some_DT
people people_NNS
aren aren_NN
' '
t t_NN
 "  "
moral moral_JJ
 "  "
enough enough_RB
for for_IN
you you_PP
or or_CC
whatever whatever_WDT
lame lame_JJ
reason reason_NN
you you_PP
come come_VBP
up up_RP
with with_IN
. .
We we_PP
[ [
not not_RB
me me_PP
] ]
chose choose_VBD
to to_TO
play play_VB
the the_DT
game game_NN
of of_IN
outvote outvote_VB
the the_DT
steal steal_VB
, ,
and and_CC
now now_RB
that that_IN
we we_PP
need need_VBP
every every_DT
vote vote_NN
that that_WDT
counts count_VBZ
, ,
some some_DT
of of_IN
us us_PP
want want_VBP
to to_TO
push push_VB
people people_NNS
away away_RB
. .
Republican republican_JJ
voters voter_NNS
don don_NN
' '
t t_NN
know know_VBP
how how_WRB
to to_TO
win win_VB
. .
As as_IN
I i_PP
' '
ve ve_NN
said say_VBD
and and_CC
will will_MD
say say_VB
once once_RB
more more_JJR
, ,
I i_PP
am be_VBP
not not_RB
a a_DT
Republican republican_JJ
, ,
conservative conservative_JJ
, ,
or or_CC
any any_DT
other other_JJ
term term_NN
; ;
I i_PP
support support_VB
Trump trump_NP
the the_DT
person person_NN
and and_CC
the the_DT
MAGA maga_NP
movement movement_NN
he he_PP
has have_VBZ
started start_VBN
. .
