Starting start_VBG
in in_IN
the the_DT
1960s 1960s_NNS
, ,
academics academic_NNS
took take_VBD
heightened heightened_JJ
interest interest_NN
in in_IN
Italian italian_JJ
Marxist marxist_JJ
Antonio antonio_NP
Gramsci gramsci_NP
' '
s s_JJ
cultural cultural_JJ
Marxism marxism_NN
. .
Members member_NNS
of of_IN
the the_DT
political political_JJ
class class_NN
glommed glommed_VBN
onto onto_IN
the the_DT
resulting result_VBG
 "  "
social social_JJ
justice justice_NN
, ,
 "  "
affirmative affirmative_JJ
action action_NN
, ,
 "  "
diversity diversity_NN
, ,
 "  "
multiculturalism multiculturalism_NN
, ,
political political_JJ
correctness correctness_NN
, ,
and and_CC
other other_JJ
malignancies malignancy_NNS
spawned spawn_VBN
by by_IN
cultural cultural_JJ
Marxism marxism_NN
. .
Progressive progressive_JJ
politicians politician_NNS
came come_VBD
to to_TO
view view_VB
society society_NN
as as_IN
a a_DT
hodge-podge hodge-podge_NN
of of_IN
racial racial_JJ
, ,
ethnic ethnic_JJ
, ,
gender-based gender-based_JJ
, ,
and and_CC
now now_RB
also also_RB
sexual sexual_JJ
orientation-based orientation-based_JJ
groups group_NNS
locked lock_VBN
in in_IN
zero-sum zero-sum_NN
combat combat_NN
with with_IN
Western western_JJ
whites white_NNS
. .
' '
Generally generally_RB
speaking speak_VBG
, ,
cultural cultural_JJ
Marxism marxism_NN
' '
s s_NN
indoctrinees indoctrinees_NNS
have have_VBP
learned learn_VBN
to to_TO
view view_VB
morality morality_NN
and and_CC
knowledge knowledge_NN
as as_IN
 "  "
constructs construct_NNS
 "  "
and and_CC
social social_JJ
and and_CC
economic economic_JJ
power power_NN
as as_IN
commodities commodity_NNS
to to_TO
be be_VB
transferred transfer_VBN
from from_IN
 "  "
oppressor oppressor_NN
 "  "
to to_TO
 "  "
oppressed oppress_VBN
. .
 "  "
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
