Parents parent_NNS
of of_IN
children child_NNS
at at_IN
a a_DT
#kentucky_h kentucky_h
school school_NN
where where_WRB
a a_DT
14-year-old 14-year-old_JJ
student student_NN
allegedly allegedly_RB
wrote write_VBD
a a_DT
 "  "
kill kill_NN
list list_NN
 "  "
last last_JJ
year year_NN
have have_VBP
voiced voice_VBN
concerns concern_NNS
for for_IN
their their
children child_NNS
' '
s s_NN
safety safety_NN
after after_IN
the the_DT
student student_NN
was be_VBD
reportedly reportedly_RB
allowed allow_VBN
to to_TO
return return_VB
this this_DT
month month_NN
. .
