Freedom freedom_NP
Hope hope_NP
Burns burns_NP
eternal eternal_JJ
after after_IN
celebrating celebrate_VBG
such such_PDT
a a_DT
positive positive_JJ
spirit spirit_NN
energy energy_NN
and and_CC
attitude attitude_NN
at at_IN
the the_DT
patriot patriot_NN
fest fest_NN
in in_IN
Naples naples_NP
Florida florida_NP
yesterday yesterday_NN
with with_IN
such such_JJ
great great_JJ
Americans americans_NPS
! !
Speaking speak_VBG
and and_CC
uniting unite_VBG
only only_JJ
matters matter_NNS
if if_IN
our our
core core_NN
beliefs belief_NNS
are be_VBP
demanded demand_VBN
from from_IN
our our
elected elect_VBN
employees employee_NNS
! !
We we_PP
here here_RB
at at_IN
truth truth_NN
social social_JJ
should should_MD
fight fight_VB
nonstop nonstop_JJ
to to_TO
eliminate eliminate_VB
the the_DT
suicidal suicidal_JJ
curse curse_NN
of of_IN
apathy apathy_NN
in in_IN
conservative conservative_JJ
America america_NP
! !
Please please_VB
gather gather_VB
with with_IN
me me_PP
at at_IN
to to_TO
put put_VB
the the_DT
most most_RBS
powerful powerful_JJ
conservative conservative_JJ
voting voting_NN
army army_NN
boots boot_NNS
on on_IN
the the_DT
ground ground_NN
this this_DT
year year_NN
! !
￼ ￼
