Former former_JJ
New new_NP
Jersey jersey_NP
Gov gov_NP
. .
Chris chris_NP
Christie christie_NP
' '
s s_JJ
presidential presidential_JJ
campaign campaign_NN
recently recently_RB
made make_VBD
a a_DT
pitch pitch_NN
to to_TO
his his
donors donor_NNS
, ,
touting tout_VBG
his his
ability ability_NN
to to_TO
remain remain_VB
in in_IN
the the_DT
race race_NN
for for_IN
the the_DT
Republican republican_JJ
presidential presidential_JJ
primary primary_NN
and and_CC
positioning position_VBG
him him_PP
as as_IN
the the_DT
only only_JJ
GOP gop_NP
nominee nominee_NN
taking take_VBG
front-runner front-runner_NN
Donald donald_NP
Trump trump_NP
head head_NN
: :
/ /
/ /
