It it_PP
' '
s s_NN
a a_DT
good good_JJ
day day_NN
for for_IN
conservatives conservative_NNS
! !
Joe joe_NP
Manchin manchin_NP
is be_VBZ
departing depart_VBG
the the_DT
Senate senate_NP
, ,
massively massively_RB
improving improve_VBG
the the_DT
GOP gop_NP
' '
s s_NN
hopes hope_VBZ
to to_TO
retake retake_VB
the the_DT
chamber chamber_NN
in in_IN
2024 @card@
. .
But but_CC
the the_DT
opportunities opportunity_NNS
don don_NN
' '
t t_NN
end end_NN
there there_RB
. .
I i_PP
explored explore_VBD
Manchin manchin_NP
' '
s s_JJ
potential potential_JJ
presidential presidential_JJ
bid bid_NN
alongside alongside_IN
Mitt mitt_NP
Romney romney_NP
, ,
and and_CC
explain explain_VB
why why_WRB
every every_DT
new new_JJ
candidate candidate_NN
in in_IN
the the_DT
race race_NN
raises raise_VBZ
Donald donald_NP
Trump trump_NP
' '
s s_JJ
chances chance_NNS
of of_IN
victory victory_NN
… …
police_car_light_e police_car_light_e
down_arrow_e down_arrow_e
