Iowa iowa_NP
, ,
today today_NN
is be_VBZ
the the_DT
start start_NN
of of_IN
the the_DT
primary primary_JJ
season season_NN
, ,
in in_IN
the the_DT
MOST most_JJ
IMPORTANT important_JJ
election election_NN
year year_NN
of of_IN
our our
lifetime lifetime_NN
, ,
BY by_NP
FAR far_NP
. .
A a_DT
vote vote_NN
for for_IN
ANYONE anyone_NP
other other_JJ
than than_IN
@realDonaldTrump twitterhandle_NN
is be_VBZ
a a_DT
vote vote_NN
for for_IN
the the_DT
DESTRUCTION destruction_NN
of of_IN
America america_NP
, ,
and and_CC
the the_DT
subsequent subsequent_JJ
NWO nwo_NP
One one_NP
World world_NP
is be_VBZ
a a_DT
REASON reason_NP
why why_WRB
the the_DT
Globalists globalists_NP
FEAR fear_NP
Trump trump_NP
, ,
and and_CC
you you_PP
NEVER never_NP
hear hear_VB
them them_PP
mention mention_VB
anyone anyone_NN
else else_RB
. .
NOT not_RB
Vivek vivek_NP
, ,
DeSantis desantis_NP
, ,
or or_CC
Haley haley_NP
. .
Because because_RB
, ,
they they_PP
are be_VBP
NON-THREATENING non-threaten_VBG
to to_TO
the the_DT
 "  "
Global global_JJ
Order order_NN
 "  "
and and_CC
in in_IN
FACT fact_NP
, ,
would would_MD
help help_VB
to to_TO
FACILITATE facilitate_VB
IS be_VBZ
the the_DT
ONLY only_JJ
man man_NN
for for_IN
the the_DT
are be_VBP
TRULY truly_NP
FOOLISH foolish_NP
if if_IN
you you_PP
think think_VBP
to to_TO
Yuval yuval_NP
Noah noah_NP
Harari harari_NP
, ,
assistant assistant_JJ
to to_TO
Klaus klaus_NP
Schwab schwab_NP
shutter shutter_NN
in in_IN
FEAR fear_NP
at at_IN
the the_DT
likely likely_JJ
prospect prospect_NN
of of_IN
Trump trump_NP
winning win_VBG
2024 @card@
 "  "
I i_PP
think think_VBP
it it_PP
' '
s s_NNS
very very_RB
likely likely_RB
, ,
if if_IN
it it_PP
happens happen_VBZ
, ,
to to_TO
be be_VB
the the_DT
DEATH death_NP
BLOWN blown_NP
TO to_NP
WHAT what_WP
REMAINS remains_NP
OF of_IN
THE the_DT
GLOBAL global_NP
ORDER order_NP
. .
 "  "
He he_PP
then then_RB
goes go_VBZ
on on_RP
to to_TO
say say_VB
that that_IN
most most_JJS
people people_NNS
believe believe_VBP
there there_EX
is be_VBZ
a a_DT
 "  "
false false_JJ
binary binary_NN
 "  "
between between_IN
Patriotism patriotism_NP
and and_CC
Globalism globalism_NP
, ,
where where_WRB
you you_PP
have have_VBP
to to_TO
be be_VB
loyal loyal_JJ
to to_TO
your your
nation nation_NN
, ,
or or_CC
to to_TO
a a_DT
Global global_JJ
Government government_NN
. .
WE we_PP
WILL will_NP
NEVER never_NP
BE be_NP
LOYAL loyal_NP
TO to_NP
GLOBAL global_NP
GOVERNMENT government_NP
. .
