IF if_IN
YOU you_PP
' '
VE ve_NP
NEVER never_NP
SEEN seen_NP
THIS this_NP
VIDEO video_NP
PLEASE please_NP
DO do_NP
. .
Worldview worldview_NP
Radio radio_NP
: :
The the_DT
Late late_JJ
Phil phil_NP
Haney haney_NP
Reminds reminds_NP
Us u_NP
in in_IN
a a_DT
July july_NP
2019 @card@
Recording recording_NP
That that_IN
The the_DT
Deep deep_NP
State state_NP
Will will_NP
Attempt attempt_NP
to to_TO
Destroy destroy_NP
and and_CC
Silence silence_NP
National national_NP
Security security_NP
Patriots patriots_NP
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
