Thank thank_VB
you you_PP
to to_TO
Jordan jordan_NP
Peterson peterson_NP
for for_IN
shedding shed_VBG
light light_NN
at at_IN
the the_DT
Subcommittee subcommittee_NP
on on_IN
Weaponization weaponization_NP
of of_IN
the the_DT
Federal federal_NP
Government government_NP
, ,
on on_IN
Biden biden_NP
' '
s s_JJ
collusion collusion_NN
with with_IN
big big_JJ
banks bank_NNS
to to_TO
spy spy_VB
on on_IN
Americans americans_NPS
' '
financial financial_JJ
privacy privacy_NN
! !
 "  "
The the_DT
danger danger_NN
posed pose_VBN
by by_IN
this this_DT
increasing increase_VBG
ability ability_NN
of of_IN
governments government_NNS
and and_CC
large large_JJ
corporations corporation_NNS
to to_TO
collude collude_VB
threatens threaten_VBZ
everyone everyone_NN
' '
s s_NN
freedom freedom_NN
equally equally_RB
, ,
 "  "
Peterson peterson_NP
testified testify_VBD
. .
 "  "
It it_PP
could could_MD
well well_RB
be be_VB
at at_IN
the the_DT
moment—and moment—and
I i_PP
think think_VBP
this this_DT
is be_VBZ
the the_DT
point point_NN
Republicans republican_NNS
here here_RB
are be_VBP
trying try_VBG
to to_TO
make—is make—is
that that_IN
the the_DT
people people_NNS
in in_IN
the the_DT
sights sight_NNS
of of_IN
that that_DT
collusion collusion_NN
tend tend_VBP
to to_TO
have have_VB
more more_JJR
conservative conservative_JJ
leanings leaning_NNS
, ,
but but_CC
that that_WDT
will will_MD
shift shift_VB
in in_IN
a a_DT
moment moment_NN
whenever whenever_WRB
the the_DT
political political_JJ
tides tide_NNS
shift shift_NN
. .
 "  "
- -_NN
Dr dr_NN
. .
Jordan jordan_NP
B b_NP
. .
Peterson peterson_NP
