There there_EX
' '
s s_VBG
a a_DT
lot lot_NN
to to_TO
be be_VB
upset upset_VBN
about about_RB
from from_IN
the the_DT
Midterms midterm_NNS
, ,
but but_CC
let let_VB
' '
s s_NNS
zoom zoom_VB
out out_RP
and and_CC
absorb absorb_VB
the the_DT
positives:GOP positives:gop
will will_MD
control control_VB
the the_DT
House house_NP
and and_CC
the the_DT
Senate senate_NP
- -_NN
a a_DT
majority majority_NN
is be_VBZ
a a_DT
majority majority_NN
no no_DT
matter matter_NN
how how_WRB
small small_JJ
- -_NN
Biden biden_NP
is be_VBZ
done do_VBN
. .
Lame lame_JJ
duck_e duck_e
. .
KArizona karizona_NP
is be_VBZ
going go_VBG
to to_TO
happenNevada happennevada_NP
and and_CC
Arizona arizona_NP
will will_MD
get get_VB
their their
elections election_NNS
cleaned clean_VBN
up up_IN
- -_NN
2 @card@
swing swing_NN
states state_NNS
down down_RB
, ,
4 @card@
to to_TO
goFlorida goflorida_NP
was be_VBD
an an_DT
insane insane_JJ
blowout blowout_NN
- -_NN
DeSantis desantis_NP
is be_VBZ
a a_DT
future future_JJ
POTUS potus_NN
and and_CC
proved prove_VBD
Ultra ultra_NP
MAGA maga_NP
& &
secure secure_JJ
elections election_NNS
are be_VBP
a a_DT
winning winning_JJ
recipeStacy recipestacy_NN
Abrams abrams_NP
& &
Beto beto_NP
are be_VBP
unemployedImpeachment unemployedimpeachment_JJ
? ?
