Brian brian_NP
Stelter stelter_NP
going go_VBG
to to_TO
Harvard harvard_NP
to to_TO
teach teach_VB
about about_RB
 "  "
threats threat_NNS
to to_TO
democracy democracy_NN
 "  "
is be_VBZ
another another_DT
egregious egregious_JJ
example example_NN
of of_IN
the the_DT
powerful powerful_JJ
, ,
elite elite_JJ
class class_NN
of of_IN
buffoons buffoon_NNS
in in_IN
this this_DT
country country_NN
who who_WP
continually continually_RB
fail fail_VBP
upwards upwards_RB
, ,
ascending ascend_VBG
to to_TO
greater great_JJR
and and_CC
greater great_JJR
positions position_NNS
of of_IN
power power_NN
and and_CC
influence influence_NN
despite despite_IN
their their
unadulterated unadulterated_JJ
real real_JJ
threat threat_NN
to to_TO
democracy democracy_NN
isn isn_NN
' '
t t_NN
Trump trump_NP
, ,
his his
supporters supporter_NNS
or or_CC
conservative conservative_JJ
media medium_NNS
. .
It it_PP
' '
s s_NNS
this this_DT
class class_NN
of of_IN
pseudo-educated pseudo-educated_JJ
dunces dunce_NNS
who who_WP
control control_VBP
cultural cultural_JJ
, ,
financial financial_JJ
and and_CC
political political_JJ
levers lever_NNS
of of_IN
power power_NN
. .
