Prediction prediction_NN
: :
Undercover undercover_JJ
FBI fbi_NP
, ,
ATF atf_NP
, ,
and and_CC
/ /
or or_CC
CIA cia_NP
agents agent_NNS
coerce coerce_VBP
dumb dumb_JJ
anti-government anti-government_JJ
types type_NNS
to to_TO
either either_RB
bomb bomb_VB
or or_CC
engage engage_VB
in in_IN
a a_DT
tactical tactical_JJ
attack attack_NN
with with_IN
AR-15s ar-15s_NP
against against_IN
a a_DT
government government_NN
target target_NN
in in_IN
the the_DT
2-3 @card@
months month_NNS
prior prior_RB
to to_TO
the the_DT
2024 @card@
electionMedia electionmedia_NN
will will_MD
then then_RB
push push_VB
a a_DT
firestorm firestorm_NN
about about_RB
how how_WRB
 "  "
Trump trump_NP
extremists extremist_NNS
want want_VBP
to to_TO
violently violently_RB
overthrow overthrow_VB
the the_DT
government government_NN
 "  "
No no_DT
Trump trump_NP
supporters supporter_NNS
want want_VBP
this this_DT
type type_NN
of of_IN
incidentWe incidentwe_NP
know know_VBP
Trump trump_NP
' '
s s_NN
polls poll_NNS
are be_VBP
higher high_JJR
than than_IN
ever ever_RB
and and_CC
the the_DT
end end_NN
is be_VBZ
near near_JJ
for for_IN
Deep deep_NP
State state_NP
scumbags scumbags_NNS
after after_IN
we we_PP
win win_VBP
legally legally_RB
snd snd_VB
peacefully peacefully_RB
in in_IN
2024If 2024if_NN
you you_PP
see see_VBP
something something_NN
, ,
say say_VBP
somethingDon somethingdon_NP
' '
t t_NN
go go_VB
to to_TO
the the_DT
feds fed_NNS
to to_TO
report report_VB
it it_PP
- -_NN
go go_VB
to to_TO
local local_JJ
police police_NNS
and and_CC
sheriffs sheriff_NNS
you you_PP
can can_MD
trustWe trustwe_VB
the the_DT
People people_NNS
have have_VBP
to to_TO
stop stop_VB
some some_DT
BS bs_NP
attack attack_NN
like like_IN
this this_DT
from from_IN
happening happen_VBG
If if_IN
we we_PP
don don_NN
' '
t t_NN
, ,
it it_PP
will will_MD
be be_VB
used use_VBN
by by_IN
the the_DT
Deep deep_NP
State state_NP
to to_TO
further further_RBR
rig rig_VB
our our
elections election_NNS
and and_CC
engage engage_VB
in in_IN
a a_DT
political political_JJ
crackdown crackdown_NN
against against_IN
Trump trump_NP
supporters supporter_NNS
that that_WDT
will will_MD
make make_VB
the the_DT
1 @card@
, ,
000+ 000+
J6 j6_NP
trials trial_NNS
look look_VBP
like like_IN
a a_DT
WNBA wnba_NP
game game_NN
( (
without without_IN
Caitlyn caitlyn_NP
Clark clark_NP
) )
