Donald donald_NP
Trump trump_NP
is be_VBZ
expected expect_VBN
to to_TO
sweep sweep_VB
Nevada nevada_NP
' '
s s_JJ
GOP gop_NP
caucuses caucus_NNS
, ,
which which_WDT
would would_MD
give give_VB
the the_DT
former former_JJ
president president_NN
a a_DT
third third_JJ
consecutive consecutive_JJ
victory victory_NN
in in_IN
the the_DT
Republican republican_JJ
presidential presidential_JJ
race race_NN
and and_CC
display display_VB
his his
dominance dominance_NN
over over_IN
the the_DT
Republican republican_NP
Party party_NP
. .
MORE more_JJR
: :
