Secret secret_NP
Service service_NP
is be_VBZ
reportedly reportedly_RB
meeting meet_VBG
with with_IN
jail jail_NN
staff staff_NN
in in_IN
New new_NP
York york_NP
in in_IN
preparation preparation_NN
for for_IN
the the_DT
possibility possibility_NN
that that_IN
@realDonaldTrump twitterhandle_NN
is be_VBZ
found find_VBN
 "  "
guilty guilty_JJ
 "  "
in in_IN
the the_DT
hush hush_NN
money money_NN
trial trial_NN
, ,
and and_CC
sentenced sentence_VBN
to to_TO
prison prison_NN
. .
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
Communist communist_NP
Democrats democrats_NPS
are be_VBP
really really_RB
NOT not_JJ
the the_DT
smartest smart_JJS
bunch…They bunch…they
want want_VBP
to to_TO
put put_VB
Trump trump_NP
in in_IN
JAIL jail_NP
for for_IN
a a_DT
 "  "
crime crime_NN
 "  "
that that_WDT
he he_PP
didn didn_NP
' '
t t_NN
even even_RB
commit commit_VB
. .
This this_DT
is be_VBZ
not not_RB
a a_DT
trial trial_NN
for for_IN
JUSTICE justice_NP
, ,
it it_PP
is be_VBZ
a a_DT
Bolshevik bolshevik_NN
style style_NN
political political_JJ
hit hit_NN
job job_NN
and and_CC
persecution persecution_NN
. .
It it_PP
is be_VBZ
ELECTION election_NP
INTERFERENCE interference_NP
at at_IN
the the_DT
HIGHEST highest_NP
and and_CC
MOST most_JJ
egregious egregious_JJ
a a_DT
way way_NN
, ,
I i_PP
pray pray_VBP
they they_PP
are be_VBP
DUMB dumb_JJ
enough enough_RB
to to_TO
put put_VB
Trump trump_NP
in in_IN
prison prison_NN
, ,
because because_IN
that that_WDT
would would_MD
galvanize galvanize_VB
MAGA maga_NP
, ,
and and_CC
most most_JJS
of of_IN
the the_DT
country country_NN
like like_IN
NEVER never_NP
before before_RB
. .
Trump trump_NP
has have_VBZ
already already_RB
captured capture_VBN
the the_DT
black black_JJ
vote vote_NN
, ,
this this_DT
would would_MD
just just_RB
solidify solidify_VB
this this_DT
ENDLESS endless_JJ
persecution persecution_NN
, ,
they they_PP
are be_VBP
doing do_VBG
nothing nothing_NN
but but_CC
turning turn_VBG
Trump trump_NP
into into_IN
the the_DT
world world_NN
' '
s s_JJ
MOST most_JJ
famous famous_JJ
martyr martyr_NN
, ,
and and_CC
it it_PP
is be_VBZ
going go_VBG
to to_TO
backfire backfire_VB
. .
BIG big_JJ
the the_DT
Democrats democrats_NPS
want want_VBP
to to_TO
MAKE make_NP
SURE sure_NP
that that_IN
Trump trump_NP
WINS wins_NP
in in_IN
an an_DT
absolute absolute_JJ
landslide landslide_NN
, ,
then then_RB
PLEASE…DO please…do
. .
DARE dare_NN
: :
/ /
/ /
