While while_IN
Gov gov_NP
. .
Ron ron_NP
DeSantis desantis_NP
has have_VBZ
not not_RB
yet yet_RB
announced announce_VBN
whether whether_IN
he he_PP
will will_MD
seek seek_VB
the the_DT
Republican republican_JJ
presidential presidential_JJ
nomination nomination_NN
next next_JJ
year year_NN
, ,
appearances appearance_NNS
across across_IN
the the_DT
US us_NP
, ,
including include_VBG
in in_IN
Alabama alabama_NP
last last_JJ
week week_NN
, ,
have have_VBP
drummed drum_VBN
up up_RP
excitement excitement_NN
among among_IN
Republican republican_JJ
voters voter_NNS
. .
