Rest rest_NN
in in_IN
peace peace_NN
to to_TO
the the_DT
legend legend_NN
, ,
Coach coach_NP
Bob bob_NP
was be_VBD
a a_DT
record-breaking record-breaking_JJ
coach coach_NN
, ,
a a_DT
true true_JJ
Hoosier hoosier_NP
, ,
and and_CC
total total_JJ
patriot patriot_NN
. .
He he_PP
was be_VBD
as as_RB
tough tough_JJ
as as_IN
they they_PP
come come_VBP
and and_CC
as as_IN
a a_DT
result result_NN
, ,
one one_CD
of of_IN
the the_DT
best good_JJS
to to_TO
ever ever_RB
do do_VB
it it_PP
. .
 "  "
Most most_JJS
people people_NNS
have have_VBP
the the_DT
will will_NN
to to_TO
win win_VB
, ,
few few_JJ
have have_VBP
the the_DT
will will_NN
to to_TO
prepare prepare_VB
to to_TO
win win_VB
. .
 "  "
- -_NP
Coach coach_NP
KnightListen knightlisten_NP
to to_TO
him him_PP
describe describe_VBP
Michael michael_NP
Jordan jordan_NP
BEFORE before_NP
he he_PP
ever ever_RB
stepped step_VBD
foot foot_NN
onto onto_IN
an an_DT
NBA nba_NP
court court_NN
. .
