Former former_JJ
South south_NP
Carolina carolina_NP
Gov gov_NP
. .
Nikki nikki_NP
Haley haley_NP
' '
s s_NN
polling polling_NN
is be_VBZ
barely barely_RB
flatlining flatlining_VBG
in in_IN
the the_DT
GOP gop_NP
presidential presidential_JJ
primary primary_NN
, ,
but but_CC
she she_PP
got get_VBD
a a_DT
shoutout shoutout_NN
from from_IN
an an_DT
unlikely unlikely_JJ
source source_NN
during during_IN
Wednesday wednesday_NP
night night_NN
' '
s s_JJ
first first_JJ
Republican republican_JJ
debate debate_NN
— -
the the_DT
White white_NP
more more_RBR
: :
