Leading lead_VBG
Report report_NP
collision_e collision_e
collision_e collision_e
collision_e collision_e
collision_e collision_e
collision_e collision_e
police_car_light_e police_car_light_e
BREAKING breaking_NP
: :
Former former_NP
President president_NP
Trump trump_NP
' '
s s_NN
legalteam legalteam_NN
, ,
via via_IN
notice notice_NN
of of_IN
appeal appeal_NN
, ,
asked ask_VBD
the the_DT
Fulton fulton_NP
County county_NP
Superior superior_NP
Court court_NP
to to_TO
conduct conduct_VB
an an_DT
 "  "
immediate immediate_JJ
review review_NN
 "  "
of of_IN
their their
motions motion_NNS
to to_TO
dismiss dismiss_VB
the the_DT
case case_NN
on on_IN
First first_NP
Amendment amendment_NP
grounds ground_NNS
, ,
arguing argue_VBG
that that_IN
the the_DT
indictments indictment_NNS
handed hand_VBD
down down_RP
by by_IN
DA da_NP
Fani fani_NP
Willis willis_NP
' '
office office_NN
last last_JJ
year year_NN
violate violate_VB
their their
First first_NP
Amendment amendment_NP
right right_NN
to to_TO
freedom freedom_NN
of of_IN
speech speech_NN
