Former former_NP
Secretary secretary_NP
of of_IN
State state_NP
#mikepompeo_h mikepompeo_h
has have_VBZ
no no_DT
qualms qualm_NNS
about about_IN
running run_VBG
for for_IN
the the_DT
2024 @card@
presidential presidential_JJ
race race_NN
even even_RB
if if_IN
former former_JJ
president president_NN
Donald donald_NP
Trump trump_NP
makes make_VBZ
his his
bid bid_NN
, ,
he he_PP
said say_VBD
in in_IN
an an_DT
Trump trump_NP
wins win_VBZ
the the_DT
2024 @card@
GOP gop_NP
nomination nomination_NN
, ,
Pompeo pompeo_NP
said say_VBD
he he_PP
will will_MD
vote vote_VB
for for_IN
him him_PP
. .
