You you_PP
know know_VBP
, ,
I i_PP
think think_VBP
another another_DT
reason reason_NN
liberals liberal_NNS
hate hate_VBP
conservatives conservative_NNS
so so_RB
much much_RB
is be_VBZ
not not_RB
only only_RB
because because_IN
they they_PP
continue continue_VBP
to to_TO
fall fall_VB
for for_IN
Democrats democrat_NNS
lies lie_NNS
and and_CC
end end_VB
up up_RP
with with_IN
their their
jizz jizz_NN
dripping drip_VBG
outta outta_NN
their their
backsides backside_NNS
. .
. .
. .
. .
. .
But but_CC
because because_IN
many many_JJ
of of_IN
us us_PP
work work_VBP
with with_IN
our our
hands hand_NNS
, ,
our our
work work_NN
touches touch_NNS
people people_NNS
in in_IN
one one_CD
way way_NN
or or_CC
another another_DT
to to_TO
improve improve_VB
people people_NNS
' '
s s_NN
lives life_NNS
. .
I i_NP
LOVE love_NP
CREATING creating_NP
BEAUTY beauty_NP
, ,
not not_RB
only only_RB
for for_IN
my my
own own_JJ
home home_NN
, ,
but but_CC
for for_IN
my my
clients client_NNS
who who_WP
also also_RB
enjoy enjoy_VBP
beauty beauty_NN
. .
heart_suit_e heart_suit_e
