Everyday everyday_JJ
, ,
I i_PP
fight fight_VBP
the the_DT
Democrat democrat_NP
agenda agenda_NN
destroying destroy_VBG
America america_NP
and and_CC
I i_PP
fight fight_VBP
for for_IN
an an_DT
America america_NP
First first_NP
Republican republican_NP
agenda agenda_NN
. .
Mike mike_NP
Johnson johnson_NP
is be_VBZ
officially officially_RB
the the_DT
Democrat democrat_NP
Speaker speaker_NP
of of_IN
the the_DT
House house_NP
. .
Here here_RB
is be_VBZ
their their
official official_JJ
endorsement endorsement_NN
of of_IN
his his
slimy slimy_JJ
back back_JJ
room room_NN
deal deal_NN
did do_VBD
Johnson johnson_NP
make make_VB
for for_IN
the the_DT
Democrats democrats_NPS
' '
support support_NN
? ?
He he_PP
should should_MD
resign resign_VB
, ,
switch switch_VB
parties party_NNS
, ,
and and_CC
continue continue_VB
voting voting_NN
for for_IN
Biden biden_NP
' '
s s_JJ
open open_JJ
border border_NN
invasion invasion_NN
of of_IN
America america_NP
, ,
endless endless_JJ
wars war_NNS
, ,
full full_JJ
term term_NN
abortion abortion_NN
on on_IN
demand demand_NN
, ,
trans trans_NNS
agenda agenda_NN
on on_IN
children child_NNS
, ,
warrantless warrantless_JJ
spying spy_VBG
on on_IN
the the_DT
American american_JJ
people people_NNS
, ,
weaponizing weaponizing_VBG
government government_NN
against against_IN
President president_NP
Trump trump_NP
and and_CC
his his
supporters supporter_NNS
, ,
and and_CC
every every_DT
other other_JJ
Democrat democrat_NP
wishlist wishlist_NN
item item_NN
he he_PP
' '
s s_NN
handed hand_VBD
the the_DT
Democrats democrats_NPS
want want_VBP
to to_TO
elect elect_VB
him him_PP
Speaker speaker_NP
( (
and and_CC
some some_DT
Republicans republicans_NPS
want want_VBP
to to_TO
support support_VB
the the_DT
Democrats democrats_NPS
' '
chosen choose_VBN
Speaker speaker_NP
) )
, ,
I i_PP
' '
ll ll_NNS
give give_VBP
them them_PP
the the_DT
chance chance_NN
to to_TO
do do_VB
it it_PP
. .
I i_NP
' '
m m_NN
a a_DT
big big_JJ
believer believer_NN
in in_IN
recorded recorded_JJ
votes vote_NNS
because because_IN
putting put_VBG
Congress congress_NP
on on_IN
record record_NN
allows allow_VBZ
every every_DT
American american_NP
to to_TO
see see_VB
the the_DT
truth truth_NN
and and_CC
provides provide_VBZ
transparency transparency_NN
to to_TO
our our
votes vote_NNS
. .
1 @card@
/ /
2 @card@
