UFC ufc_NP
star star_JJ
Jorge jorge_NP
Masvidal masvidal_NN
recently recently_RB
insisted insist_VBD
that that_IN
he he_PP
is be_VBZ
not not_RB
afraid afraid_JJ
of of_IN
the the_DT
cancel cancel_NN
culture culture_NN
for for_IN
speaking speak_VBG
out out_RP
about about_IN
his his
conservative conservative_JJ
political political_JJ
beliefs belief_NNS
because because_IN
the the_DT
U u_NP
. .
S s_NP
. .
is be_VBZ
the the_DT
 "  "
greatest great_JJS
country country_NN
in in_IN
the the_DT
world world_NN
. .
 "  "
