In in_IN
yet yet_RB
another another_DT
example example_NN
of of_IN
the the_DT
Biden biden_NP
family family_NN
' '
s s_JJ
extreme extreme_JJ
cruelty cruelty_NN
to to_TO
children child_NNS
, ,
Hunter hunter_NP
Biden biden_NP
' '
s s_JJ
4-year-old 4-year-old_JJ
daughter daughter_NN
, ,
Navy navy_NP
Joan joan_NP
, ,
will will_MD
reportedly reportedly_RB
no no_RB
longer longer_RBR
be be_VB
using use_VBG
his his
surname surname_NN
as as_IN
part part_NN
of of_IN
the the_DT
child child_NN
support support_NN
settlement settlement_NN
. .
