@paula twitterhandle_NN
this this_DT
is be_VBZ
one one_CD
of of_IN
many many_JJ
reasons reason_NNS
we we_PP
need need_VBP
to to_TO
stop stop_VB
electing elect_VBG
rinos rinos_NNS
. .
If if_IN
we we_PP
had have_VBD
all all_DT
America america_NP
first first_JJ
patriots patriot_NNS
when when_WRB
we we_PP
have have_VBP
the the_DT
majority majority_NN
we we_PP
can can_MD
write write_VB
law law_NN
the the_DT
correct correct_JJ
way way_NN
. .
Having have_VBG
agencies agency_NNS
set set_VBP
policies policy_NNS
or or_CC
using use_VBG
EOs eos_NP
can can_MD
all all_RB
be be_VB
undone undo_VBN
just just_RB
as as_RB
fast fast_RB
as as_IN
it it_PP
was be_VBD
implemented implement_VBN
. .
