Tucker tucker_NP
Carlson carlson_NP
exposed expose_VBD
a a_DT
video video_NN
that that_WDT
was be_VBD
scrubbed scrub_VBN
by by_IN
the the_DT
Chinese chinese_JJ
government government_NN
of of_IN
a a_DT
professor professor_NN
admitting admit_VBG
that that_IN
they they_PP
have have_VBP
people people_NNS
at at_IN
the the_DT
 "  "
top top_JJ
of of_IN
America america_NP
' '
s s_NN
core core_NN
inner inner_JJ
circle circle_NN
of of_IN
power power_NN
and and_CC
influence influence_NN
 "  "
: :
In in_IN
the the_DT
video video_NN
, ,
a a_DT
top top_JJ
economics economics_NN
professor professor_NN
discusses discuss_VBZ
how how_WRB
China china_NP
was be_VBD
able able_JJ
to to_TO
easily easily_RB
settle settle_VB
disputes dispute_NNS
with with_IN
prior prior_JJ
administrations administration_NNS
because because_IN
they they_PP
have have_VBP
people people_NNS
at at_IN
the the_DT
top top_NN
of of_IN
America america_NP
, ,
specifically specifically_RB
on on_IN
Wall wall_NP
Street street_NP
. .
But but_CC
when when_WRB
Trump trump_NP
came come_VBD
a a_DT
long long_RB
, ,
all all_PDT
that that_DT
Chinese chinese_JJ
influence influence_NN
went go_VBD
professor professor_NN
also also_RB
noted note_VBD
how how_WRB
Trump trump_NP
complained complain_VBD
about about_IN
Hunter hunter_NP
Biden biden_NP
having have_VBG
a a_DT
' '
global global_JJ
foundation foundation_NN
' '
and and_CC
he he_PP
essentially essentially_RB
confirmed confirm_VBD
that that_IN
the the_DT
Biden biden_NP
family family_NN
was be_VBD
in in_IN
bed bed_NN
with with_IN
the the_DT
Chinese chinese_JJ
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
