Wow wow_NN
, ,
the the_DT
Biden biden_NP
regime regime_NN
is be_VBZ
really really_RB
reaching reach_VBG
new new_JJ
levels level_NNS
of of_IN
absurdity absurdity_NN
! !
They they_PP
' '
re re_NN
now now_RB
labeling label_VBG
Christians christian_NNS
, ,
conservatives conservative_NNS
, ,
and and_CC
Republicans republican_NNS
as as_IN
equivalent equivalent_NN
to to_TO
Nazis nazi_NNS
in in_IN
their their
anti-terrorism anti-terrorism_NN
program program_NN
. .
And and_CC
they they_PP
' '
re re_NN
using use_VBG
taxpayer taxpayer_NN
money money_NN
to to_TO
fund fund_VB
a a_DT
group group_NN
that that_WDT
explicitly explicitly_RB
targets target_VBZ
the the_DT
American american_JJ
political political_JJ
right right_NN
. .
Criminal criminal_JJ
behavior behavior_NN
, ,
anyone anyone_NN
? ?
We we_PP
need need_VBP
to to_TO
wake wake_VB
up up_RP
and and_CC
understand understand_VBP
that that_IN
our our
country country_NN
is be_VBZ
in in_IN
the the_DT
middle middle_NN
of of_IN
a a_DT
Marxist marxist_JJ
takeover takeover_NN
. .
This this_DT
is be_VBZ
not not_RB
the the_DT
America america_NP
we we_PP
know know_VBP
and and_CC
love love_VBP
. .
