Democrats democrats_NPS
are be_VBP
exploiting exploit_VBG
children child_NNS
to to_TO
advance advance_VB
their their
radical radical_JJ
agenda agenda_NN
. .
They they_PP
recently recently_RB
brought bring_VBD
an an_DT
11-year-old 11-year-old_JJ
Uvalde uvalde_NP
survivor survivor_NN
to to_TO
the the_DT
House house_NP
Oversight oversight_NP
Committee committee_NP
. .
It it_PP
' '
s s_NN
shameful shameful_JJ
to to_TO
make make_VB
a a_DT
child child_NN
relive relive_VBP
that that_IN
trauma trauma_NN
and and_CC
use use_VB
her her_PP
as as_IN
a a_DT
political political_JJ
pawn pawn_NN
. .
Rep rep_NP
. .
Thomas thomas_NP
Massie massie_NP
and and_CC
I i_PP
discuss discuss_VBP
. .
