Feel feel_NN
screwed screw_VBD
yet yet_RB
? ?
In in_IN
1986 @card@
, ,
three three_CD
million million_CD
illegal illegal_JJ
immigrants immigrant_NNS
in in_IN
the the_DT
United united_NP
States states_NPS
were be_VBD
given give_VBN
the the_DT
right right_NN
to to_TO
become become_VB
citizens citizen_NNS
. .
It it_PP
was be_VBD
a a_DT
full-scale full-scale_JJ
amnesty amnesty_NN
, ,
created create_VBN
by by_IN
a a_DT
bipartisan bipartisan_JJ
majority majority_NN
in in_IN
Congress congress_NP
and and_CC
signed sign_VBN
into into_IN
law law_NN
by by_IN
President president_NP
Reagan reagan_NP
. .
It it_PP
had have_VBD
one one_CD
big big_JJ
flaw flaw_NN
. .
The the_DT
amnesty amnesty_NN
went go_VBD
into into_IN
effect effect_NN
immediately immediately_RB
. .
And and_CC
strong strong_JJ
measures measure_NNS
to to_TO
secure secure_VB
the the_DT
border border_NN
with with_IN
Mexico mexico_NP
and and_CC
prosecute prosecute_VB
employers employer_NNS
who who_WP
hired hire_VBD
illegals illegal_NNS
were be_VBD
to to_TO
follow follow_VB
. .
The the_DT
goal goal_NN
was be_VBD
to to_TO
stop stop_VB
illegal illegal_JJ
immigration immigration_NN
once once_RB
and and_CC
for for_IN
all all_DT
, ,
while while_IN
allowing allow_VBG
those those_DT
here here_RB
illegally illegally_RB
to to_TO
stay stay_VB
. .
But but_CC
strengthened strengthened_JJ
enforcement enforcement_NN
never never_RB
happened—that happened—that
was be_VBD
the the_DT
flaw—and flaw—and
the the_DT
bill bill_NN
produced produce_VBD
a a_DT
perverse perverse_JJ
result result_NN
. .
Rather rather_RB
than than_IN
halt halt_VB
the the_DT
flow flow_NN
of of_IN
illegal illegal_JJ
immigrants immigrant_NNS
, ,
the the_DT
1986 @card@
law law_NN
actually actually_RB
spurred spur_VBD
millions million_NNS
more more_JJR
to to_TO
come come_VB
. .
. .
. .
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
