Monday monday_NP
LIVE live_NP
: :
America america_NP
In in_IN
Crisis crisis_NP
! !
Deep deep_NP
State state_NP
Removal removal_NP
of of_IN
Biden biden_NP
Imminent imminent_NP
! !
Kamala kamala_NP
Says say_VBZ
She she_PP
' '
s s_NN
 "  "
Ready ready_JJ
to to_TO
Serve serve_NP
 "  "
TUNE tune_NP
IN in_IN
: :
╰ ╰
#supportinfowars_h supportinfowars_h
╮ ╮
video_game_e video_game_e
grinning_squinting_face_e grinning_squinting_face_e
#nwowars_h nwowars_h
AVAILABLE available_NP
on on_IN
Steam steam_NP
! !
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
while while_IN
you you_PP
still still_RB
can can_MD
! !
#1a_h 1a_h
