Why why_WRB
would would_MD
a a_DT
voting voting_NN
machine machine_NN
company company_NN
sue sue_VB
conservative conservative_JJ
media medium_NNS
companies company_NNS
and and_CC
their their
employees employee_NNS
in in_IN
order order_NN
to to_TO
cancel cancel_VB
them them_PP
out out_RP
of of_IN
existence existence_NN
? ?
The the_DT
voting voting_NN
machine machine_NN
company company_NN
hasn hasn_NN
' '
t t_NN
lost lose_VBD
contracts contract_NNS
so so_IN
it it_PP
doesn doesn_NN
' '
t t_NN
seem seem_VBP
that that_IN
they they_PP
have have_VBP
standing standing_NN
in in_IN
the the_DT
only only_JJ
conclusion conclusion_NN
is be_VBZ
that that_IN
these these_DT
massive massive_JJ
billion billion_NN
dollar dollar_NN
lawsuits lawsuit_NNS
are be_VBP
purely purely_RB
made make_VBN
up up_RP
of of_IN
political political_JJ
they they_PP
trying try_VBG
to to_TO
control control_VB
the the_DT
outcomes outcome_NNS
of of_IN
elections election_NNS
by by_IN
attacking attack_VBG
the the_DT
sources source_NNS
of of_IN
information information_NN
the the_DT
public public_NN
consumes consume_VBZ
? ?
1 @card@
/ /
2 @card@
