Heading head_VBG
to to_TO
the the_DT
Great great_NP
State state_NP
of of_IN
New new_NP
Hampshire hampshire_NP
. .
CNN cnn_NP
LIVE live_NP
, ,
Tonight tonight_NP
, ,
8:00 @card@
P p_NN
. .
M m_NP
. .
Is be_VBZ
CNN cnn_NP
making make_VBG
a a_DT
comeback comeback_NN
, ,
or or_CC
is be_VBZ
it it_PP
just just_RB
a a_DT
charade charade_NN
? ?
They they_PP
must must_MD
treat treat_VB
MAGA maga_NP
, ,
the the_DT
greatest great_JJS
political political_JJ
movement movement_NN
in in_IN
our our
Country country_NN
' '
s s_NN
history history_NN
, ,
with with_IN
respect respect_NN
. .
I i_PP
think think_VBP
they they_PP
will will_MD
, ,
but but_CC
we we_PP
will will_MD
soon soon_RB
find find_VB
out out_RP
? ?
Big big_JJ
long long_JJ
term term_NN
opportunity opportunity_NN
for for_IN
CNN cnn_NP
! !
! !
! !
