No no_RB
, ,
Nikki nikki_NP
( (
and and_CC
her her
media media_NN
sycophants sycophant_NNS
) )
, ,
it it_PP
is be_VBZ
not not_RB
 "  "
down down_RB
to to_TO
two two_CD
. .
 "  "
It it_PP
is be_VBZ
down down_RB
to to_TO
one one_CD
, ,
President president_NP
Trump trump_NP
. .
Simply simply_RB
because because_IN
you you_PP
remain remain_VBP
in in_IN
the the_DT
race race_NN
, ,
funded fund_VBN
and and_CC
supported support_VBN
by by_IN
Joe joe_NP
Biden biden_NP
' '
s s_NN
supporters supporter_NNS
and and_CC
billionaires billionaire_NNS
, ,
doesn doesn_NP
' '
t t_NN
mean mean_VB
you you_PP
' '
ve ve_NNS
any any_DT
path path_NN
to to_TO
the the_DT
GOP gop_NP
presidential presidential_JJ
nomination nomination_NN
. .
You you_PP
don don_VBP
' '
t t_NN
. .
Maybe maybe_RB
you you_PP
' '
d d_SYM
have have_VB
a a_DT
better good_JJR
shot shot_NN
in in_IN
the the_DT
Democrat democrat_NP
primary primary_NN
given give_VBN
the the_DT
extent extent_NN
to to_TO
which which_WDT
you you_PP
' '
ve ve_RB
been be_VBN
campaigning campaign_VBG
for for_IN
that that_DT
party party_NN
' '
s s_NN
support support_NN
. .
