Last last_JJ
night night_NN
at at_IN
UW uw_NP
was be_VBD
a a_DT
MASSIVE massive_JJ
win win_NN
for for_IN
@TPUSA twitterhandle_NN
and and_CC
for for_IN
conservatives conservative_NNS
in in_IN
the the_DT
PNW pnw_NN
! !
There there_EX
were be_VBD
a a_DT
few few_JJ
altercations altercation_NNS
with with_IN
ANTIFA antifa_NP
but but_CC
they they_PP
were be_VBD
proven prove_VBN
to to_TO
be be_VB
a a_DT
bunch bunch_NN
of of_IN
cowards coward_NNS
. .
Our our
Prove prove_NP
Me me_NP
Wrong wrong_JJ
tabling table_VBG
event event_NN
was be_VBD
packed pack_VBN
and and_CC
our our
Live live_NP
Free free_NP
Tour tour_NP
event event_NN
was be_VBD
one one_CD
of of_IN
our our
BIGGEST biggest_NN
ever ever_RB
, ,
standing stand_VBG
room room_NN
! !
! !
flag_united_states_e flag_united_states_e
