#durham_h durham_h
#durhamwatch_h durhamwatch_h
#russiahoax_h russiahoax_h
#trump_h trump_h
#truth_h truth_h
#like_h like_h
#repost_h repost_h
#patriots_h patriots_h
#america_h america_h
#maga_h maga_h
#ultramaga_h ultramaga_h
#darkmaga_h darkmaga_h
#americafirst_h americafirst_h
#wethepeople_h wethepeople_h
Greetings greeting_NNS
all all_RB
, ,
Its its
time time_NN
to to_TO
get get_VB
this this_DT
Party party_NP
started start_VBD
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
police_car_light_e police_car_light_e
