URGENT urgent_JJ
CALL call_JJ
TO to_NN
ACTION action_NN
: :
MASSIVE massive_JJ
VOLUNTEER volunteer_NP
EFFORT effort_NP
NEEDED needed_NP
TO to_NP
LAUNCH launch_NP
STATE state_NP
CAMPAIGNS campaigns_NP
& &
BOOST boost_NP
MAGA maga_NP
MOVEMENT movement_NP
 "  "
We we_PP
need need_VBP
massive massive_JJ
amounts amount_NNS
of of_IN
volunteers volunteer_NNS
to to_TO
now now_RB
actually actually_RB
get get_VB
a a_DT
campaign campaign_NN
going go_VBG
in in_IN
the the_DT
states state_NNS
, ,
which which_WDT
doesn doesn_NP
' '
t t_NN
exist exist_VBP
currently currently_RB
. .
[ [
. .
. .
. .
] ]
In in_IN
your your
neighborhoods neighborhood_NNS
, ,
if if_IN
you you_PP
' '
re re_NN
up up_RB
to to_TO
speed speed_VB
on on_IN
topics topic_NNS
, ,
your your
neighbors neighbor_NNS
kind kind_NN
of of_IN
respect respect_NN
that that_RB
. .
They they_PP
say say_VBP
, ,
 "  "
Well well_UH
, ,
look look_VB
, ,
I i_PP
' '
m m_NN
a a_DT
low-information low-information_NN
voter voter_NN
. .
I i_PP
don don_VBP
' '
t t_NN
have have_VBP
time time_NN
for for_IN
politics politics_NNS
, ,
don don_NN
' '
t t_NN
like like_IN
politics politics_NNS
. .
But but_CC
you you_PP
know know_VBP
, ,
the the_DT
Joneses joneses_NP
down down_IN
the the_DT
street street_NN
, ,
they they_PP
' '
re re_NN
all all_RB
over over_IN
this this_DT
. .
 "  "
They they_PP
know know_VBP
the the_DT
best good_JJS
way way_NN
to to_TO
sell sell_VB
the the_DT
Trump trump_NP
movement movement_NN
, ,
the the_DT
best good_JJS
way way_NN
to to_TO
sell sell_VB
MAGA maga_NP
and and_CC
President president_NP
Trump trump_NP
, ,
is be_VBZ
not not_RB
through through_IN
a a_DT
30-second 30-second_JJ
spot spot_NN
. .
That that_IN
' '
s s_NNS
a a_DT
consultant consultant_NN
scam scam_NN
. .
It it_PP
' '
s s_JJ
good good_JJ
old-fashioned old-fashioned_JJ
elbow elbow_NN
grease grease_NN
. .
 "  "
-Steve -steve_NP
Bannon bannon_NP
