Molly molly_NP
Ball ball_NP
, ,
Time time_NP
Magazine magazine_NP
: :
 "  "
To to_TO
the the_DT
President president_NP
, ,
something something_NN
felt feel_VBD
amiss amiss_JJ
. .
' '
It it_PP
was be_VBD
all all_RB
very very_RB
, ,
very very_RB
strange strange_JJ
, ,
' '
Trump trump_NP
said say_VBD
on on_IN
Dec dec_NP
. .
2 2_LS
. .
' '
Within within_IN
days day_NNS
after after_IN
the the_DT
election election_NN
, ,
we we_PP
witnessed witness_VBD
an an_DT
orchestrated orchestrate_VBN
effort effort_NN
to to_TO
anoint anoint_VB
the the_DT
winner winner_NN
, ,
even even_RB
while while_IN
many many_JJ
key key_JJ
states state_NNS
were be_VBD
still still_RB
being be_VBG
counted count_VBN
. .
' '
In in_IN
a a_DT
way way_NN
, ,
Trump trump_NP
was be_VBD
right right_JJ
. .
There there_EX
was be_VBD
a a_DT
conspiracy conspiracy_NN
unfolding unfold_VBG
behind behind_IN
the the_DT
scenes…Their scenes…their
work work_NN
touched touch_VBD
every every_DT
aspect aspect_NN
of of_IN
the the_DT
election election_NN
. .
They they_PP
got get_VBD
states state_NNS
to to_TO
change change_VB
voting voting_NN
systems system_NNS
and and_CC
laws law_NNS
and and_CC
helped help_VBD
secure secure_JJ
hundreds hundred_NNS
of of_IN
millions million_NNS
in in_IN
public public_JJ
and and_CC
private private_JJ
funding funding_NN
. .
They they_PP
fended fend_VBD
off off_RP
voter-suppression voter-suppression_NN
lawsuits lawsuit_NNS
, ,
recruited recruit_VBD
armies army_NNS
of of_IN
poll poll_NN
workers worker_NNS
and and_CC
got get_VBD
millions million_NNS
of of_IN
people people_NNS
to to_TO
vote vote_VB
by by_IN
mail mail_NN
for for_IN
the the_DT
first first_JJ
time time_NN
. .
They they_PP
successfully successfully_RB
pressured pressure_VBD
social social_JJ
media medium_NNS
companies company_NNS
… …
 "  "
