With with_IN
just just_RB
46 @card@
days day_NNS
to to_TO
qualify qualify_VB
for for_IN
the the_DT
first first_JJ
GOP gop_NP
presidential presidential_JJ
debate debate_NN
, ,
campaigns campaign_NNS
for for_IN
several several_JJ
lesser-known lesser-known_JJ
candidates candidate_NNS
are be_VBP
scrambling scramble_VBG
to to_TO
meet meet_VB
required require_VBN
polling polling_NN
numbers number_NNS
and and_CC
to to_TO
collect collect_VB
the the_DT
40 @card@
, ,
000 @card@
individual individual_JJ
campaign campaign_NN
donors donor_NNS
needed need_VBN
to to_TO
make make_VB
the the_DT
stage stage_NN
. .
