_TYPE_	_NAME_	v000001	v000002	v000003	v000004	v000005	v000006	v000007	v000008	v000009	v000010	v000011	v000012	v000013	v000014	v000015	v000016	v000017	v000018	v000019	v000020	v000021	v000022	v000023	v000024	v000025	v000026	v000027	v000028	v000030	v000034	v000035	v000036	v000037	v000038	v000039	v000040	v000041	v000042	v000043	v000044	v000046	v000047	v000049	v000050	v000051	v000052	v000053	v000054	v000056	v000057	v000058	v000059	v000060	v000061	v000062	v000063	v000065	v000068	v000070	v000071	v000073	v000075	v000078	v000080	v000082	v000086	v000094	v000095	v000096	v000099	v000100	v000106	v000109	v000118	v000119	v000120	v000132	v000139	v000140	v000141	v000144	v000148	v000158	v000161	v000164	v000166	v000170	v000176	v000177	v000180	v000182	v000184	v000187	v000192	v000197	v000198	v000200	v000201	v000202	v000203	v000205	v000206	v000207	v000208	v000210	v000211	v000213	v000214	v000224	v000225	v000228	v000237	v000243	v000245	v000252	v000274	v000281	v000285	v000296	v000297	v000299	v000307	v000323	v000327	v000335	v000348	v000359	v000447	v000450	v000473	v000511	v000518	v000528	v000531	v000533	v000536	v000544	v000549	v000574	v000578	v000610	v000633	v000669	v000703	v000708	v000824	v000832	v000886	v000900	v000941
MEAN		0.0885795769	0.0405227089	0.03850083	0.0379900396	0.0379687567	0.0348401652	0.0298599583	0.0286893968	0.028306304	0.0280083429	0.0267739327	0.0264546886	0.0259651811	0.0251777125	0.0249436002	0.0244540927	0.0242412634	0.0238581705	0.023368663	0.0226876091	0.0221981016	0.0210913889	0.020750862	0.0206870132	0.0201762227	0.0199208275	0.0198569787	0.0195803005	0.0166219725	0.0163452943	0.0163240114	0.0162601626	0.0162388797	0.0160260503	0.0153024305	0.0150044694	0.0149619035	0.0147703571	0.0147277913	0.0146426595	0.0139828885	0.0136849274	0.0134508151	0.0133869663	0.0133231175	0.0132592687	0.0128974588	0.0128761759	0.0127697612	0.0127697612	0.012493083	0.0121312731	0.0115779168	0.0114715021	0.0114502192	0.0113438045	0.0113012387	0.0111096922	0.010854297	0.0107904482	0.0105776189	0.0106414677	0.0102370919	0.0101306772	0.0101093943	0.0099178479	0.0095986038	0.0095986038	0.0094283404	0.0092367939	0.0091729451	0.0088111352	0.0087047206	0.0083216277	0.008236496	0.0081726472	0.0076618567	0.0075341591	0.0075341591	0.0075128762	0.0074703103	0.0073213298	0.0069382369	0.0068318222	0.0067679734	0.0067041246	0.006576427	0.0064700123	0.0064700123	0.0063848806	0.0063210318	0.006257183	0.0062146171	0.0060230707	0.0060017878	0.0059805048	0.0059805048	0.0059592219	0.0059592219	0.0059592219	0.0059592219	0.005937939	0.005937939	0.005937939	0.005916656	0.005916656	0.0058953731	0.0058740902	0.0056612608	0.0056612608	0.0056399779	0.0054909973	0.0054058656	0.0053420168	0.005256885	0.004937641	0.0048312263	0.0047886605	0.004618397	0.004618397	0.004597114	0.0045119823	0.0044055676	0.0043630017	0.00427787	0.0041501724	0.003958626	0.0034052697	0.0033839867	0.003298855	0.0031498744	0.0031073086	0.0030434598	0.0030221768	0.0030221768	0.0030008939	0.002958328	0.002958328	0.0028306304	0.0028306304	0.0027029328	0.002617801	0.0024475376	0.0023411229	0.0023411229	0.0020857277	0.0020857277	0.0019367471	0.0019367471	0.0018303324
STD		0.284138969	0.1971837886	0.1924040124	0.1911741989	0.1911227553	0.1833767808	0.170202696	0.1669338445	0.1658482516	0.1649983486	0.1614238018	0.1604848474	0.1590331059	0.1566662621	0.1559549123	0.1544558118	0.1537989855	0.1526088264	0.15107301	0.1489071972	0.1473289103	0.1436905761	0.1425506793	0.1423358417	0.1406042798	0.1397297522	0.1395101907	0.138554397	0.1278515953	0.1268008986	0.1267196899	0.1264757295	0.1263942976	0.1255768754	0.1227541724	0.1215715833	0.1214016419	0.1206337573	0.1204624102	0.1201189374	0.1174208703	0.1161806243	0.1151962375	0.1149262223	0.1146555356	0.1143841727	0.1128334407	0.1127415207	0.1122807317	0.1122807317	0.1110732573	0.1094731036	0.1069771575	0.1064901317	0.1063924462	0.105902603	0.1057060002	0.1048165102	0.1036180958	0.1033162215	0.1023032531	0.10260824	0.1006603671	0.1001412005	0.1000370303	0.0990943649	0.0975021691	0.0975021691	0.0966418415	0.095664363	0.0953362242	0.0934541867	0.0928931216	0.0908435681	0.0903815798	0.09003348	0.0871969867	0.0864728553	0.0864728553	0.086351558	0.086108435	0.0852518772	0.0830074963	0.0823728891	0.0819897008	0.0816046633	0.0808289346	0.0801766057	0.0801766057	0.0796507936	0.0792540853	0.0788553295	0.0785883395	0.0773751946	0.0772391952	0.0771029501	0.0771029501	0.0769664579	0.0769664579	0.0769664579	0.0769664579	0.0768297174	0.0768297174	0.0768297174	0.0766927271	0.0766927271	0.0765554858	0.076417992	0.075028866	0.075028866	0.074888503	0.0738983254	0.0733263706	0.0728943943	0.0723143242	0.0700954012	0.0693396561	0.0690349956	0.0678023983	0.0678023983	0.0676467144	0.0670202947	0.0662287848	0.0659094714	0.0652660746	0.0642886959	0.0627936237	0.0582558668	0.058074152	0.0573414554	0.0560358774	0.055657157	0.0550841328	0.0548917789	0.0548917789	0.0546987404	0.0543105799	0.0543105799	0.0531288811	0.0531288811	0.0519199799	0.0510979817	0.0494125398	0.0483289948	0.0483289948	0.0456226008	0.0456226008	0.0439663197	0.0439663197	0.0427436686
N		46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986	46986
CORR	v000001	1	0.1531204961	-0.285753454	0.0666359399	-0.291238989	-0.032283471	0.0474356247	0.1377671317	0.1728598584	-0.272419889	-0.132007909	-0.30339262	-0.269763651	-0.253173839	0.0895636746	-0.079300497	-0.201823913	-0.22253119	0.0088746666	0.0228614644	-0.184994136	-0.062242779	0.1837007293	-0.241403052	-0.213023249	0.2298092012	0.0350778803	-0.251717161	0.0389059164	-0.068507163	0.1331369686	-0.384394782	-0.008566177	0.1603972604	-0.063134218	-0.10943	-0.177251866	-0.202901298	0.0639546932	0.0995552177	-0.225814275	-0.071718508	-0.015684184	0.0982133211	-0.076101081	-0.19181948	-0.333477044	-0.274507614	0.1034207047	-0.484350216	-0.225703875	-0.392941435	-0.258018718	-0.12909411	0.2138525099	0.5736479254	-0.383846136	-0.216723935	0.025931978	-0.211964606	-0.128798506	-0.348622007	0.6366134765	-0.106295377	0.1365787276	-0.149653216	-0.216013525	0.2523619848	-0.159140569	-0.12853772	-0.895199168	0.5260502102	0.4910772492	-0.169223425	0.5082504658	-0.342019093	0.3225574159	-0.331450488	0.1416764806	-0.219998068	-0.041989765	0.3207883873	-0.035513384	-0.936161204	-0.221356779	-0.202540879	-0.041448708	-0.214588176	-0.064653719	-0.407540197	-0.193474883	-0.25110052	-0.022509627	-0.016535464	-0.032831804	-0.032165832	-0.023543958	-0.031497239	-0.031497239	-0.031497239	-0.031497239	-0.030826007	-0.030826007	-0.030826007	-0.030152114	-0.030152114	-0.029475539	-0.398210087	-0.214339647	-0.021850006	-0.262276131	-0.075782268	-0.999	-0.254775654	-0.091807685	-0.217149796	-0.314526125	-0.239594739	-0.308902552	-0.308902552	-0.266465041	-0.263974672	-0.260790993	-0.364716331	-0.299313959	0.3818176264	-0.2464679	-0.336501802	-0.850635098	-0.332864881	-0.327561249	-0.213690686	-0.323609329	-0.057464441	-0.255317802	-0.321987796	-0.053867407	-0.036356781	-0.086307918	-0.246926202	-0.867604158	-0.236862224	-0.880258197	-0.887474086	-0.079409273	-0.279681878	-0.279681878	-0.934409236	-0.147991959	-0.955857354
CORR	v000002	0.1531204961	1	0.1275483733	0.146724493	0.1409052037	0.0407050656	0.1800986677	0.0364303785	0.1655560668	0.1130397248	-0.087087931	0.0729313074	-0.070670324	0.2302766045	0.1384909259	0.134512415	0.1040313317	-0.317946938	0.039323599	0.2630431267	-0.081676887	-0.121525704	0.2730476645	0.1442238874	0.0029129996	0.2356386314	0.2558126018	0.0908089249	0.2477210401	0.1649228563	0.0112785078	-0.068279183	0.1370990139	0.3335264558	0.0614931437	-0.231069291	-0.070272216	0.0181803088	0.1975709605	0.2380114387	0.1177995904	0.2303807557	0.1434242684	0.2609567338	0.0436168221	0.175435599	-0.104725431	-0.003828556	0.1872828888	-0.188493981	-0.013874217	0.1172483241	0.0300947136	0.2656207749	0.065930411	0.0676896455	-0.189806089	0.0517440343	-0.043510416	0.0356198344	-0.039137801	-0.040157233	0.0452173471	-0.077569411	0.0761609162	0.0433182697	-0.165974354	0.0067884144	0.0099180221	-0.1054227	-0.182197063	0.0726881097	0.0143342028	0.0832107357	0.0851073118	0.0253211834	-0.032097785	0.093553002	0.0075757857	-0.153696438	0.1403593188	0.1147707668	0.2864136968	-0.140080318	-0.243946736	0.0496500659	0.2882532081	0.086079236	0.2917691021	-0.158538717	0.0805466084	0.1279667039	0.2799527648	0.2647435304	0.2766077129	0.2773609814	0.2827975897	0.2781172606	0.2781172606	0.2781172606	0.2781172606	0.2788765748	0.2788765748	0.2788765748	0.2796389483	0.2796389483	0.280404406	-0.018050305	0.0442577609	0.283458828	-0.04609947	0.3474505991	-0.170293611	0.027427324	0.3523367364	0.1250754548	0.2179032259	-0.153994368	-0.035273251	-0.195519579	-0.112575447	0.0832574906	-0.076630669	-0.0752132	0.0333991458	0.097791616	0.119068359	-0.070031245	-0.069135557	0.1241181648	-0.999	0.0481444484	0.0296219495	0.0064221997	-0.091393534	0.0075092222	-0.017867094	0.0097083197	-0.04349106	-0.207888728	-0.999	0.0004738907	0.2201967096	-0.015902447	0.1346731585	-0.092654601	-0.092654601	-0.813202547	0.1023772488	0.0204375308
CORR	v000003	-0.285753454	0.1275483733	1	0.1277914528	-0.222312825	-0.006778257	0.0850660204	0.139843759	0.0786804036	-0.014910209	0.1229178082	0.0992107248	-0.113473926	-0.176296714	0.1411353143	-0.01011294	-0.047976635	-0.243860007	0.0417323063	0.0960471243	0.0716291934	-0.08996373	0.0615639403	-0.162665118	-0.018914938	0.0570376856	0.0351756949	-0.199751747	0.2019180185	0.0481696288	0.0208749229	-0.03644003	0.1586342724	0.1759196508	-0.048546376	0.0538095704	0.043082031	0.0397004701	0.0156357254	0.0353835282	0.1704742811	0.0877547842	0.0963694987	0.1024758088	0.0650722165	-0.089403455	-0.134326891	0.0656072768	0.0902929314	-0.970732391	-0.068780422	-0.098213462	0.0917937708	-0.044089595	0.034030301	0.057190785	-0.361936049	0.1693340896	0.0282868116	0.0928945013	-0.118223091	-0.221681828	0.0044649238	0.0240599359	0.0988137067	0.0362902604	-0.035926506	0.0583754336	0.0843422354	-0.234387657	-0.017026975	-0.145574553	-0.087967846	0.0677481249	0.0226830518	0.0134776453	-0.176289503	-0.999	0.1106496837	-0.145960714	-0.006431568	0.0323166051	-0.007381815	-0.842327699	-0.032452764	0.2104368129	0.0147583408	0.0421515854	-0.010092891	-0.076631828	0.126460907	0.0230678182	0.0107486448	0.0294502698	0.0165054277	0.0170928877	0.0170928877	0.017682554	0.017682554	0.0032889106	0.017682554	0.0038723395	0.0038723395	0.0182744433	0.0044579716	0.0044579716	0.0194649585	-0.85422586	-0.105288538	-0.003838641	0.0122794913	0.2016731905	-0.073535033	-0.206940942	0.2101863157	0.2301053488	-0.263730509	0.0814416399	0.0451479356	-0.075771453	-0.257956034	0.0640822998	-0.135368734	-0.905827644	-0.249577661	0.0465811863	-0.1687309	-0.999	-0.222185201	-0.026366137	0.1254248321	-0.212170988	0.1313936855	0.3700203596	-0.999	-0.133063187	-0.206390083	0.3895054264	-0.074999005	-0.999	-0.999	-0.064193	0.2660079234	-0.008363443	0.2368749049	-0.810268809	-0.810268809	-0.817036295	0.1945045716	0.0279423872
CORR	v000004	0.0666359399	0.146724493	0.1277914528	1	0.0628904878	0.1738630961	0.1209861462	0.1190427551	0.1300760978	0.107493122	0.1024951041	0.0564637062	-0.033239423	0.0667016372	0.1176423294	0.0998425691	0.0849864935	-0.174209121	0.1126715919	0.1285522613	0.0066249372	-0.135177191	0.150726162	0.0250727227	-0.022071327	0.1363200102	0.0514956427	-0.028248927	0.1001571294	0.0288663147	0.1291778524	0.1683730169	0.041243542	0.2026820652	0.0296071785	-0.097035764	-0.034295502	0.0480195168	0.0812550478	0.1210668243	0.0964972481	0.0739208195	0.0772241921	0.2092881691	0.0901045208	0.0503012379	0.0737252116	0.1326483764	0.0635629423	-0.275442374	-0.002401748	0.0732215013	0.1488809814	0.1840118194	0.0963818612	0.0305522463	-0.179898131	0.2167800448	-0.091106091	0.0824150735	-0.028091629	0.000045588	0.0245552885	0.0264047006	0.1012488862	0.0028703867	-0.04556295	0.2015113257	0.1144446674	-0.039248239	-0.03810745	0.0233582114	-0.085826779	0.0946742431	0.0719383258	0.1278132785	-0.035266026	0.0880201469	0.189680065	-0.018221708	0.04183868	0.0115418326	0.2182648537	-0.302157924	-0.046506168	0.186655552	0.2290461401	0.0874640266	0.1722846177	0.0345965495	0.0483753102	0.0252770989	0.2150191451	0.2145144383	0.2219496398	0.2226574553	0.2090363918	0.2233680394	0.2233680394	0.2233680394	0.2233680394	0.2240814138	0.2240814138	0.2240814138	0.2247976004	0.2247976004	0.2255166215	-0.137378498	0.0790258361	0.2336195718	0.1833611322	-0.013543146	-0.125770625	-0.047475541	-0.067326918	0.1747604316	-0.080311092	0.0413246125	0.1374791654	0.1584863255	-0.073085927	-0.021636535	-0.017966406	-0.179322753	0.0262759425	0.0121047802	-0.001456546	-0.098452808	0.022946584	0.1345705204	0.0759853449	0.0363270025	0.015197969	0.0827965582	-0.082096518	-0.081124899	0.1537597782	0.0863202476	-0.199447636	-0.123636504	-0.117635775	0.0634796929	-0.052939736	-0.006403022	0.0558672752	-0.163214109	-0.163214109	-0.154351085	0.112205281	-0.012137907
CORR	v000005	-0.291238989	0.1409052037	-0.222312825	0.0628904878	1	-0.099257214	0.104965366	0.0363183222	0.0355794424	-0.253749295	-0.116464061	0.1141111405	0.3379728351	-0.316019312	0.0616242848	-0.220215947	-0.119279639	-0.878364411	0.0150432605	0.0423069948	-0.152724079	-0.073551277	0.0473135331	0.8156295768	-0.086917141	0.0847698365	-0.043046298	0.8152127276	0.1814966996	-0.014022438	-0.013785171	-0.214312923	0.1759423342	0.0438642873	0.1662622327	-0.096940426	-0.155348012	-0.094322494	-0.047604833	0.0192624052	0.0144399243	0.004279885	0.0283186602	0.1298016926	0.0617411244	0.845721529	-0.220854913	0.0002242304	0.057441115	0.6172349234	-0.088616938	-0.02259788	-0.101307353	0.9065103545	0.0365269892	-0.142979914	0.785317107	-0.094724895	-0.05398084	0.0619344868	-0.100913913	0.9072318987	-0.287128792	0.149045037	-0.000336956	-0.209926591	-0.100930023	0.0976771675	-0.04252903	0.2044638628	0.0527032262	-0.331467485	-0.164907096	0.0333865911	-0.184256395	-0.060188407	-0.315334544	-0.837820252	-0.313393465	-0.248167171	0.1146784843	-0.000779838	0.999	0.5533242553	-0.157023224	0.0138585278	0.999	-0.07646461	0.999	-0.294261304	-0.072940763	0.1393302465	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.8122698751	-0.212386911	0.999	-0.077698298	-0.208513374	-0.206530237	0.7850225499	-0.121775492	0.1837885298	-0.261932041	-0.191116494	0.0140878098	-0.103594199	-0.256155638	-0.100311433	-0.066798064	0.8547821515	0.681089461	-0.088513856	-0.943260838	0.8184522025	0.2167983944	-0.217385184	-0.211957361	0.999	-0.082980504	0.0163606696	0.5167512557	-0.13113362	0.1050173231	0.0196423462	-0.199374572	0.7226044999	-0.999	0.7290208475	0.1877768175	-0.098790297	0.125477788	0.6023228974	0.6023228974	0.7311623852	0.1122902883	-0.14749859
CORR	v000006	-0.032283471	0.0407050656	-0.006778257	0.1738630961	-0.099257214	1	-0.079049004	-0.050503553	-0.028395383	-0.061624005	0.105225902	0.0327875563	-0.28825322	-0.025679858	0.0278288181	-0.009965163	0.0543315187	-0.048679886	0.0273877589	0.0043810815	-0.203341496	-0.094863486	-0.011125496	-0.167664808	-0.030157938	-0.009389864	-0.002922134	-0.183634057	0.0475618459	-0.034514872	0.0213559608	0.0733704185	0.0345687955	-0.023353721	-0.085623107	-0.115955709	0.017718897	0.091872065	-0.059394069	-0.040136078	-0.050592249	-0.101132948	-0.008309269	-0.024668239	0.0457072048	-0.09604253	0.0376851068	0.0155109581	-0.025667191	-0.23225144	-0.20348457	-0.139624499	0.0714968882	-0.099766682	0.0199638803	-0.046845757	-0.189216969	-0.032264346	-0.14074663	0.062636983	0.0737466842	-0.137789689	-0.041735905	0.1417510813	0.0239525489	-0.12726762	-0.122375156	-0.071717161	0.026493645	-0.160475997	-0.050071449	-0.043625224	0.0196535843	-0.065001891	-0.019007538	-0.031555452	-0.161628526	-0.1313585	-0.107308914	-0.302120607	-0.841812977	0.0259535044	-0.073654273	-0.224408839	-0.032719482	-0.031233322	-0.111857062	0.0703982101	-0.063108935	0.0361629014	-0.081434071	0.0259643979	-0.057019048	-0.052278987	-0.098700746	-0.098188855	-0.051204407	-0.09767508	-0.09767508	-0.09767508	-0.09767508	-0.097159408	-0.097159408	-0.097159408	-0.096641825	-0.096641825	-0.096122317	-0.205271666	0.1640526204	-0.090276388	-0.089732599	-0.15074567	0.0026697577	-0.193212605	-0.109139645	-0.070484257	-0.067321562	-0.066036136	0.1407440823	-0.011825651	0.009560794	-0.08767674	0.0842718304	-0.935962104	-0.943917885	0.0256243086	-0.038265884	-0.13560172	-0.134793502	0.0620523037	-0.036648789	-0.12377808	0.1137734687	-0.069720817	-0.999	0.077244756	0.0047543937	-0.117415669	-0.021294017	-0.999	-0.014631388	-0.101520445	-0.092740367	-0.165708243	-0.165708243	-0.817766629	-0.817766629	-0.826889742	-0.826889742	-0.835470086
CORR	v000007	0.0474356247	0.1800986677	0.0850660204	0.1209861462	0.104965366	-0.079049004	1	0.1064768509	0.1058612454	0.111448857	0.0071915576	0.0286304974	0.1338730232	0.0691679354	0.0157105282	0.070703164	0.0054012193	-0.252739817	0.047946977	0.2461396865	-0.000856032	-0.112976113	0.176856882	0.1288963756	0.0713764706	0.1887688796	0.156763265	0.0964375116	0.0875026318	0.1590965511	-0.015126151	-0.080422874	0.1774751172	0.1923919647	0.1193534281	-0.303158677	0.0902710633	0.018428072	0.1842299871	0.1278119774	0.1366677034	0.1759882806	0.348366029	0.1111255469	0.1059618187	0.1359922352	-0.031228288	-0.05370367	0.1012933286	0.0007991103	-0.048784235	0.0451173443	0.0615526303	0.2009566398	0.0095953182	0.0111793429	0.0216834065	0.0768877688	0.0381273982	0.1190564921	-0.094648082	0.0415474413	0.0072421015	0.0404170293	0.0093369699	-0.011123872	-0.062761653	0.0496786711	0.0527542101	-0.012453565	-0.055727596	0.0205926771	0.1206695673	0.0742591859	0.019309422	0.0330761612	0.143737841	0.0586117086	0.1112008631	-0.215548715	0.0929257716	0.1347068345	0.2731956115	0.0629449294	-0.068145514	0.0251756549	0.2718378608	0.0960339295	0.2427942468	-0.08466206	0.1219987796	-0.014334878	0.2639770649	0.2566719705	0.2641591069	0.2648538664	0.2648538664	0.2655513175	0.2655513175	0.2655513175	0.2655513175	0.2662514813	0.2662514813	0.2662514813	0.2669543791	0.2669543791	0.2676600323	-0.137981268	0.0366812642	0.2687500335	0.0202157638	0.0574957284	-0.126823753	0.0287712817	0.1070499739	0.0899621056	0.1801224585	-0.043126359	0.0857693919	-0.153662871	-0.153072556	0.1702200827	-0.031009876	-0.002996595	0.0447005922	-0.053462809	-0.999	-0.064247676	0.0596967834	0.1243814222	-0.053585788	-0.012342967	-0.009370944	-0.0083656	-0.0083656	-0.046940886	-0.005304471	-0.005304471	0.0340668547	-0.090635519	-0.084634378	-0.080466993	0.0220310345	0.1622800398	0.0284874394	0.0034820009	0.0034820009	-0.123195777	0.0138854133	0.2613485937
